Drill Listing
=============
Drill: 15  Tool: 1  Feed: 0  Speed: 0
X 590  Y 1150
X 780  Y 2772
X 335  Y 3750
X 290  Y 3900
X 290  Y 4000
X 290  Y 4100
X 290  Y 4200
X 290  Y 4300
X 335  Y 4465
X 115  Y 4835
X 440  Y 4835
X 825  Y 5720
X 595  Y 5922
X 782  Y 5925
X 1000  Y 5927
X 1195  Y 5922
X 1325  Y 3835
X 925  Y 3740
X 1325  Y 3655
X 925  Y 3555
X 1025  Y 3075
X 1100  Y 2945
X 1100  Y 2760
X 1315  Y 2650
X 1075  Y 2530
X 1345  Y 2527
X 1310  Y 2200
X 1225  Y 1140
X 1790  Y 1140
X 1630  Y 1330
X 1825  Y 1330
X 1800  Y 2060
X 1500  Y 2200
X 1675  Y 2265
X 1775  Y 2265
X 1675  Y 2450
X 1775  Y 2450
X 1510  Y 2650
X 1675  Y 2805
X 1715  Y 2830
X 1775  Y 2840
X 1830  Y 2960
X 1795  Y 3025
X 1860  Y 3302
X 1845  Y 3490
X 1825  Y 3660
X 1825  Y 3845
X 1725  Y 4050
X 1655  Y 5453
X 1390  Y 5917
X 1800  Y 5922
X 1590  Y 5927
X 1977  Y 5935
X 1962  Y 5705
X 2100  Y 5370
X 1970  Y 5325
X 2040  Y 4150
X 1920  Y 4085
X 1881  Y 3845
X 2050  Y 3695
X 2110  Y 3685
X 1975  Y 3670
X 1965  Y 3575
X 2095  Y 3565
X 1880  Y 3525
X 2095  Y 3500
X 2110  Y 3455
X 1875  Y 3370
X 2050  Y 3195
X 1975  Y 3120
X 2020  Y 3055
X 2039  Y 3020
X 1870  Y 2890
X 2075  Y 2455
X 1975  Y 2455
X 1875  Y 2450
X 2075  Y 2260
X 2055  Y 2050
X 1880  Y 1340
X 1920  Y 1320
X 1985  Y 1320
X 2015  Y 1290
X 2305  Y 1105
X 2305  Y 1155
X 2195  Y 1155
X 2480  Y 1310
X 2520  Y 1320
X 2360  Y 1335
X 2410  Y 1340
X 2360  Y 2065
X 2595  Y 2065
X 2350  Y 2260
X 2250  Y 2260
X 2175  Y 2260
X 2250  Y 2455
X 2520  Y 2460
X 2435  Y 2465
X 2390  Y 2465
X 2575  Y 2480
