RefDes     X          Y          Rot.       Exact     (FREE)    Side
+24V       10630.0000 5560.0000  000        EXACT     (FREE)    Top                           
C1         840.0000   1590.0000  180        EXACT     (FREE)    Bottom                        
C2         870.0000   830.0000   180        EXACT     (FREE)    Bottom                        
C3         2430.0000  5150.0000  180        EXACT     (FREE)    Top                           
C4         2490.0000  4890.0000  000        EXACT     (FREE)    Bottom                        
C5         2968.0000  4716.0000  090        EXACT     (FREE)    Top                           
C6         3178.0000  4716.0000  090        EXACT     (FREE)    Top                           
C7         3068.0000  4716.0000  090        EXACT     (FREE)    Top                           
C8         1050.0000  4240.0000  270        EXACT     (FREE)    Bottom                        
C9         1740.0000  4460.0000  090        EXACT     (FREE)    Top                           
C10        2870.0000  4710.0000  090        EXACT     (FREE)    Top                           
C11        2670.0000  5150.0000  000        EXACT     (FREE)    Top                           
C12        1400.0000  4560.0000  090        EXACT     (FREE)    Bottom                        
C13        1080.0000  4540.0000  090        EXACT     (FREE)    Bottom                        
C14        750.0000   4740.0000  270        EXACT     (FREE)    Top                           
C15        1470.0000  4810.0000  270        EXACT     (FREE)    Bottom                        
C16        1080.0000  4810.0000  270        EXACT     (FREE)    Bottom                        
C17        1300.0000  4810.0000  270        EXACT     (FREE)    Bottom                        
C18        1930.0000  4850.0000  270        EXACT     (FREE)    Top                           
C19        2140.0000  4850.0000  270        EXACT     (FREE)    Top                           
C20        1720.0000  4850.0000  270        EXACT     (FREE)    Top                           
C21        10470.0000 1170.0000  180        EXACT     (FREE)    Bottom                        
C22        4200.0000  5160.0000  270        EXACT     (FREE)    Top                           
C23        5560.0000  3680.0000  000        EXACT     (FREE)    Top                           
C24        5220.0000  3680.0000  180        EXACT     (FREE)    Top                           
C25        5570.0000  4760.0000  180        EXACT     (FREE)    Bottom                        
C26        5460.0000  4590.0000  180        EXACT     (FREE)    Bottom                        
C27        5700.0000  4410.0000  180        EXACT     (FREE)    Bottom                        
C28        5700.0000  4510.0000  180        EXACT     (FREE)    Bottom                        
C29        5700.0000  4610.0000  180        EXACT     (FREE)    Bottom                        
C30        5490.0000  4040.0000  180        EXACT     (FREE)    Bottom                        
C31        5490.0000  4140.0000  180        EXACT     (FREE)    Bottom                        
C32        5490.0000  4230.0000  180        EXACT     (FREE)    Bottom                        
C33        9760.0000  4460.0000  270        EXACT     (FREE)    Bottom                        
C34        9910.0000  5340.0000  090        EXACT     (FREE)    Bottom                        
C35        9760.0000  5340.0000  090        EXACT     (FREE)    Bottom                        
C36        9460.0000  5000.0000  180        EXACT     (FREE)    Bottom                        
C37        8720.0000  5070.0000  000        EXACT     (FREE)    Bottom                        
C38        8720.0000  4870.0000  000        EXACT     (FREE)    Bottom                        
C39        9610.0000  4270.0000  180        EXACT     (FREE)    Bottom                        
C40        8730.0000  4470.0000  000        EXACT     (FREE)    Bottom                        
C41        8730.0000  4280.0000  000        EXACT     (FREE)    Bottom                        
C42        9620.0000  3920.0000  180        EXACT     (FREE)    Bottom                        
C43        8730.0000  3930.0000  000        EXACT     (FREE)    Bottom                        
C44        8730.0000  3680.0000  000        EXACT     (FREE)    Bottom                        
C45        9620.0000  3070.0000  180        EXACT     (FREE)    Bottom                        
C46        8730.0000  3320.0000  000        EXACT     (FREE)    Bottom                        
C47        8730.0000  3080.0000  000        EXACT     (FREE)    Bottom                        
C48        9600.0000  2480.0000  180        EXACT     (FREE)    Bottom                        
C49        8730.0000  2710.0000  000        EXACT     (FREE)    Bottom                        
C50        8730.0000  2480.0000  000        EXACT     (FREE)    Bottom                        
C51        4700.0000  4010.0000  180        EXACT     (FREE)    Top                           
C52        4825.0000  4585.0000  090        EXACT     (FREE)    Bottom                        
C53        4860.0000  5085.0000  090        EXACT     (FREE)    Top                           
C54        4700.0000  4110.0000  180        EXACT     (FREE)    Top                           
C55        5250.0000  4860.0000  000        EXACT     (FREE)    Bottom                        
C56        4760.0000  4955.0000  180        EXACT     (FREE)    Top                           
C57        4920.0000  4420.0000  090        EXACT     (FREE)    Bottom                        
C58        4970.0000  3800.0000  000        EXACT     (FREE)    Bottom                        
C59        4940.0000  3740.0000  180        EXACT     (FREE)    Top                           
C60        5430.0000  3850.0000  000        EXACT     (FREE)    Bottom                        
C61        5600.0000  3850.0000  180        EXACT     (FREE)    Bottom                        
C62        5770.0000  3850.0000  180        EXACT     (FREE)    Bottom                        
C63        6200.0000  3870.0000  270        EXACT     (FREE)    Bottom                        
C64        5940.0000  3850.0000  180        EXACT     (FREE)    Bottom                        
C65        6090.0000  3890.0000  270        EXACT     (FREE)    Bottom                        
C66        5940.0000  4030.0000  000        EXACT     (FREE)    Bottom                        
C67        5910.0000  4250.0000  000        EXACT     (FREE)    Bottom                        
C68        5930.0000  4400.0000  000        EXACT     (FREE)    Bottom                        
C69        5930.0000  4640.0000  000        EXACT     (FREE)    Bottom                        
C70        6180.0000  4990.0000  090        EXACT     (FREE)    Bottom                        
C71        5930.0000  4490.0000  000        EXACT     (FREE)    Bottom                        
C72        5930.0000  4850.0000  000        EXACT     (FREE)    Bottom                        
C73        6080.0000  5000.0000  090        EXACT     (FREE)    Bottom                        
C74        5940.0000  3940.0000  180        EXACT     (FREE)    Bottom                        
C75        5770.0000  5020.0000  180        EXACT     (FREE)    Bottom                        
C76        5600.0000  4905.0000  180        EXACT     (FREE)    Bottom                        
C77        5910.0000  4150.0000  000        EXACT     (FREE)    Bottom                        
C78        5600.0000  5020.0000  180        EXACT     (FREE)    Bottom                        
C79        5600.0000  3940.0000  180        EXACT     (FREE)    Bottom                        
C80        5940.0000  5020.0000  180        EXACT     (FREE)    Bottom                        
C81        9600.0000  1870.0000  180        EXACT     (FREE)    Bottom                        
C82        8730.0000  2120.0000  000        EXACT     (FREE)    Bottom                        
C83        8730.0000  1880.0000  000        EXACT     (FREE)    Bottom                        
C84        9600.0000  1270.0000  180        EXACT     (FREE)    Bottom                        
C85        8730.0000  1530.0000  000        EXACT     (FREE)    Bottom                        
C86        8730.0000  1280.0000  000        EXACT     (FREE)    Bottom                        
C87        9490.0000  800.0000   180        EXACT     (FREE)    Bottom                        
C88        8730.0000  930.0000   000        EXACT     (FREE)    Bottom                        
C89        8730.0000  680.0000   000        EXACT     (FREE)    Bottom                        
C90        10000.0000 1360.0000  090        EXACT     (FREE)    Bottom                        
C91        9750.0000  430.0000   270        EXACT     (FREE)    Bottom                        
C92        10010.0000 430.0000   270        EXACT     (FREE)    Bottom                        
C93        6000.0000  5400.0000  000        EXACT     (FREE)    Bottom                        
C94        6380.0000  5400.0000  000        EXACT     (FREE)    Top                           
C95        6740.0000  5190.0000  000        EXACT     (FREE)    Top                           
C96        6360.0000  5190.0000  000        EXACT     (FREE)    Bottom                        
C97        6360.0000  4830.0000  000        EXACT     (FREE)    Bottom                        
C98        6740.0000  4830.0000  000        EXACT     (FREE)    Top                           
C99        6740.0000  4440.0000  000        EXACT     (FREE)    Top                           
C100       6360.0000  4440.0000  000        EXACT     (FREE)    Bottom                        
C101       6360.0000  4060.0000  000        EXACT     (FREE)    Bottom                        
C102       6740.0000  4060.0000  000        EXACT     (FREE)    Top                           
C103       6550.0000  3620.0000  000        EXACT     (FREE)    Top                           
C104       6170.0000  3620.0000  000        EXACT     (FREE)    Bottom                        
C105       4430.0000  4920.0000  180        EXACT     (FREE)    Top                           
