Drill Listing
=============
Drill: .01  Tool: 1  Feed: 95  Speed: 300
X 430000  Y 134000
X 437500  Y 134100
X 450200  Y 118200
X 503500  Y 157500
X 503500  Y 167500
X 504549  Y 132562
X 504567  Y 142548
X 527000  Y 195100
X 505100  Y 261100
X 498500  Y 259900
X 495900  Y 259900
X 467033  Y 254892
X 462600  Y 264100
X 454368  Y 262948
X 415900  Y 236200
X 371500  Y 262000
X 369000  Y 262000
X 256800  Y 279600
X 272100  Y 289400
X 272200  Y 286300
X 315413  Y 287913
X 319200  Y 276300
X 319350  Y 287913
X 323287  Y 287913
X 327224  Y 287913
X 331161  Y 287913
X 335098  Y 287913
X 339035  Y 287913
X 342972  Y 287913
X 346909  Y 287913
X 350846  Y 287913
X 354783  Y 287913
X 358720  Y 287913
X 362657  Y 287913
X 366594  Y 287913
X 374468  Y 287913
X 378405  Y 287913
X 379558  Y 277500
X 379700  Y 282300
X 381800  Y 284200
X 382342  Y 287913
X 386279  Y 287913
X 390216  Y 287913
X 393700  Y 287900
X 398090  Y 287913
X 402027  Y 287913
X 405964  Y 287913
X 409901  Y 287913
X 413838  Y 287913
X 417775  Y 287913
X 421712  Y 287913
X 425649  Y 287913
X 429586  Y 287913
X 494700  Y 280100
X 534200  Y 273700
X 469900  Y 304700
X 447700  Y 297900
X 433100  Y 298000
X 429586  Y 299724
X 429586  Y 295787
X 429586  Y 291850
X 429586  Y 303661
X 429586  Y 311535
X 429586  Y 307598
X 429586  Y 315472
X 425649  Y 303661
X 425649  Y 299724
X 425649  Y 295787
X 425649  Y 291850
X 425649  Y 307598
X 425649  Y 315472
X 425649  Y 311535
X 421712  Y 299724
X 421712  Y 291850
X 421712  Y 303661
X 421712  Y 295787
X 421712  Y 315472
X 421712  Y 307598
X 421712  Y 311535
X 417775  Y 303661
X 417775  Y 299724
X 417775  Y 295787
X 417775  Y 291850
X 417775  Y 315472
X 417775  Y 311535
X 417775  Y 307598
X 413838  Y 295787
X 413838  Y 291850
X 413838  Y 299724
X 413838  Y 303661
X 413838  Y 315472
X 413838  Y 307598
X 413838  Y 311535
