Drill Listing
=============
Drill: .012  Tool: 1  Feed: 95  Speed: 300
X 1537930  Y 1542560
X 1709822  Y 1497586
X 1923770  Y 1559870
X 2473600  Y 1675600
X 2473500  Y 1666800
X 2471000  Y 1673000
X 2467600  Y 1680600
X 2467300  Y 1669600
X 2457200  Y 1688900
X 2395252  Y 1679203
X 2394848  Y 1669824
X 2382482  Y 1675291
X 2381985  Y 1694121
X 2276912  Y 1622497
X 2087811  Y 1633285
X 1376736  Y 1618867
X 1236430  Y 1649870
X 1222910  Y 1654570
X 1178810  Y 1646100
X 1155429  Y 1648703
X 1131060  Y 1763150
X 1131270  Y 1767120
X 1131280  Y 1773570
X 1131300  Y 1770370
X 1190301  Y 1739097
X 1204180  Y 1759670
X 1206980  Y 1748350
X 1207580  Y 1759670
X 1210380  Y 1748350
X 1223560  Y 1703460
X 1288974  Y 1740787
X 1288974  Y 1744187
X 1295440  Y 1750390
X 1295440  Y 1746990
X 1384000  Y 1756000
X 1384000  Y 1723000
X 2382460  Y 1761610
X 2385860  Y 1761610
X 2386860  Y 1739590
X 2386860  Y 1736190
X 2391530  Y 1759880
X 2394930  Y 1759880
X 2433506  Y 1751772
X 2433506  Y 1755172
X 2437630  Y 1728490
X 2437630  Y 1731890
X 2440683  Y 1748797
X 2440683  Y 1745397
X 2290390  Y 1782646
X 2286263  Y 1779523
X 2285040  Y 1797300
X 2197159  Y 1781507
X 2123771  Y 1797747
X 2114188  Y 1784631
X 2114052  Y 1780415
X 2014601  Y 1782510
X 1938935  Y 1784586
X 1936909  Y 1780199
X 1931212  Y 1796702
X 1837676  Y 1779725
X 1765222  Y 1796811
X 1761498  Y 1784201
X 1758685  Y 1781095
X 1660486  Y 1779408
X 1581264  Y 1784573
X 1578202  Y 1780857
X 1487779  Y 1778543
X 1407094  Y 1784997
X 1405394  Y 1781468
X 1334700  Y 1851380
X 1270660  Y 1846420
X 1267260  Y 1846420
X 1264320  Y 1850850
X 1261910  Y 1853260
X 1244430  Y 1844040
X 1242020  Y 1846450
X 1237960  Y 1853010
X 1237960  Y 1849610
X 1131280  Y 1783180
X 1129090  Y 1779820
X 1227130  Y 1884110
X 1229540  Y 1881700
X 1243680  Y 1889810
X 1246090  Y 1887400
X 1246380  Y 1860860
X 1248790  Y 1863270
X 1252510  Y 1914740
X 1254920  Y 1917150
X 1261430  Y 1875160
X 1263420  Y 1900260
X 1263840  Y 1877570
X 1265830  Y 1897850
X 1271780  Y 1861550
X 1275180  Y 1861550
X 1290680  Y 1879790
X 1293090  Y 1877380
X 1294760  Y 1855100
X 1298160  Y 1855100
X 1302430  Y 1867550
X 1305830  Y 1867550
X 1312770  Y 1913880
X 1315180  Y 1911470
X 1326970  Y 1924520
X 1326970  Y 1927920
X 1334700  Y 1854780
X 1344670  Y 1857980
X 1344670  Y 1861380
X 2349300  Y 1909210
X 2349300  Y 1912610
X 2359411  Y 1915171
X 2361816  Y 1917576
X 2387400  Y 1912440
X 2387400  Y 1915840
X 2395859  Y 1881530
X 2396000  Y 1907410
X 2396000  Y 1910810
X 2398263  Y 1883934
X 2405700  Y 1919670
X 2405700  Y 1923070
X 2407362  Y 1872976
X 2409766  Y 1875380
X 2419969  Y 1914004
X 2419969  Y 1910604
X 2429935  Y 1879113
X 2429935  Y 1882513
X 2430163  Y 1896080
X 2430163  Y 1892680
X 2391000  Y 1938000
X 2391000  Y 1934500
X 2371770  Y 1939770
X 2371770  Y 1936370
X 2241000  Y 2185900
X 2237900  Y 2188800
X 2236700  Y 2192900
X 2235800  Y 2196800
X 1533700  Y 2198900
X 1528120  Y 2190450
X 1576200  Y 2223300
X 2527500  Y 2217000
X 2533000  Y 2218500
Drill: .01969  Tool: 2  Feed: 95  Speed: 300
X 1057086  Y 1202913
X 1072834  Y 1202913
X 1088582  Y 1202913
X 1104330  Y 1202913
X 1120078  Y 1202913
X 1143897  Y 1202913
X 1151771  Y 1203307
X 1159645  Y 1202913
X 1167519  Y 1203307
X 1175393  Y 1202913
X 1183267  Y 1203307
X 1191141  Y 1202913
X 1199015  Y 1203307
X 1206889  Y 1202913
X 1214764  Y 1203307
X 1342716  Y 1202913
X 1350590  Y 1203307
X 1358464  Y 1202913
X 1366338  Y 1203307
X 1374212  Y 1202913
X 1382086  Y 1203307
X 1389960  Y 1202913
X 1397834  Y 1203307
X 1405708  Y 1202913
X 1413583  Y 1203307
X 1429527  Y 1202913
X 1437401  Y 1203307
X 1445275  Y 1202913
X 1453149  Y 1203307
X 1461023  Y 1202913
X 1468897  Y 1203307
X 1476771  Y 1202913
X 1484645  Y 1203307
X 1492519  Y 1202913
X 1500394  Y 1203307
X 1628346  Y 1202913
X 1636220  Y 1203307
X 1644094  Y 1202913
X 1651968  Y 1203307
X 1659842  Y 1202913
X 1667716  Y 1203307
X 1675590  Y 1202913
X 1683464  Y 1203307
X 1691338  Y 1202913
X 1699213  Y 1203307
X 1715157  Y 1202913
X 1723031  Y 1203307
X 1730905  Y 1202913
X 1738779  Y 1203307
X 1746653  Y 1202913
X 1754527  Y 1203307
X 1762401  Y 1202913
X 1770275  Y 1203307
X 1778149  Y 1202913
X 1786024  Y 1203307
X 1913976  Y 1202913
X 1921850  Y 1203307
X 1929724  Y 1202913
X 1937598  Y 1203307
X 1945472  Y 1202913
X 1953346  Y 1203307
X 1961220  Y 1202913
X 1969094  Y 1203307
X 1976968  Y 1202913
X 1984843  Y 1203307
X 2000787  Y 1202913
X 2008661  Y 1203307
X 2016535  Y 1202913
X 2024409  Y 1203307
X 2032283  Y 1202913
X 2040157  Y 1203307
X 2048031  Y 1202913
X 2055905  Y 1203307
X 2063779  Y 1202913
X 2071654  Y 1203307
X 2199605  Y 1202913
X 2207479  Y 1203307
X 2215353  Y 1202913
X 2223227  Y 1203307
X 2231101  Y 1202913
X 2238975  Y 1203307
X 2246849  Y 1202913
X 2254723  Y 1203307
X 2262597  Y 1202913
X 2270472  Y 1203307
X 2286416  Y 1202913
X 2294290  Y 1203307
X 2302164  Y 1202913
X 2310038  Y 1203307
X 2317912  Y 1202913
X 2325786  Y 1203307
X 2333660  Y 1202913
X 2341534  Y 1203307
X 2349408  Y 1202913
X 2357283  Y 1203307
X 2485235  Y 1202913
X 2493109  Y 1203307
X 2500983  Y 1202913
X 2508857  Y 1203307
X 2516731  Y 1202913
X 2524605  Y 1203307
X 2532479  Y 1202913
X 2540353  Y 1203307
X 2548227  Y 1202913
X 2556102  Y 1203307
X 2572046  Y 1202913
X 2579920  Y 1203307
X 2587794  Y 1202913
X 2595668  Y 1203307
X 2603542  Y 1202913
X 2611416  Y 1203307
X 2619290  Y 1202913
X 2627164  Y 1203307
X 2635038  Y 1202913
X 2642913  Y 1203307
X 2642913  Y 1208818
X 2642913  Y 1214330
X 2642913  Y 1219842
X 2642913  Y 1225354
X 2635038  Y 1208425
X 2635038  Y 1213936
X 2635038  Y 1219448
X 2635038  Y 1224960
X 2627164  Y 1208818
X 2627164  Y 1214330
X 2627164  Y 1219842
X 2627164  Y 1225354
X 2619290  Y 1208425
X 2619290  Y 1213936
X 2619290  Y 1219448
X 2619290  Y 1224960
X 2611416  Y 1208818
X 2611416  Y 1214330
X 2611416  Y 1219842
X 2611416  Y 1225354
X 2603542  Y 1208425
X 2603542  Y 1213936
X 2603542  Y 1219448
X 2603542  Y 1224960
X 2595668  Y 1208818
X 2595668  Y 1214330
X 2595668  Y 1219842
X 2595668  Y 1225354
X 2587794  Y 1208425
X 2587794  Y 1213936
X 2587794  Y 1219448
X 2587794  Y 1224960
X 2579920  Y 1208818
X 2579920  Y 1214330
X 2579920  Y 1219842
X 2579920  Y 1225354
X 2572046  Y 1208425
X 2572046  Y 1213936
X 2572046  Y 1219448
X 2572046  Y 1224960
X 2556102  Y 1208818
X 2556102  Y 1214330
X 2556102  Y 1219842
X 2556102  Y 1225354
X 2548227  Y 1208425
X 2548227  Y 1213936
X 2548227  Y 1219448
X 2548227  Y 1224960
X 2540353  Y 1208818
X 2540353  Y 1214330
X 2540353  Y 1219842
X 2540353  Y 1225354
X 2532479  Y 1208425
X 2532479  Y 1213936
X 2532479  Y 1219448
X 2532479  Y 1224960
X 2524605  Y 1208818
X 2524605  Y 1214330
X 2524605  Y 1219842
X 2524605  Y 1225354
X 2516731  Y 1208425
X 2516731  Y 1213936
X 2516731  Y 1219448
X 2516731  Y 1224960
X 2508857  Y 1208818
X 2508857  Y 1214330
X 2508857  Y 1219842
X 2508857  Y 1225354
X 2500983  Y 1208425
X 2500983  Y 1213936
X 2500983  Y 1219448
X 2500983  Y 1224960
X 2493109  Y 1208818
X 2493109  Y 1214330
X 2493109  Y 1219842
X 2493109  Y 1225354
X 2485235  Y 1208425
X 2485235  Y 1213936
X 2485235  Y 1219448
X 2485235  Y 1224960
X 2357283  Y 1208818
X 2357283  Y 1214330
X 2357283  Y 1219842
X 2357283  Y 1225354
X 2349408  Y 1208425
X 2349408  Y 1213936
X 2349408  Y 1219448
X 2349408  Y 1224960
X 2341534  Y 1208818
X 2341534  Y 1214330
X 2341534  Y 1219842
X 2341534  Y 1225354
X 2333660  Y 1208425
X 2333660  Y 1213936
X 2333660  Y 1219448
X 2333660  Y 1224960
X 2325786  Y 1208818
X 2325786  Y 1214330
X 2325786  Y 1219842
X 2325786  Y 1225354
X 2317912  Y 1208425
X 2317912  Y 1213936
X 2317912  Y 1219448
X 2317912  Y 1224960
X 2310038  Y 1208818
X 2310038  Y 1214330
X 2310038  Y 1219842
X 2310038  Y 1225354
X 2302164  Y 1208425
X 2302164  Y 1213936
X 2302164  Y 1219448
X 2302164  Y 1224960
X 2294290  Y 1208818
X 2294290  Y 1214330
X 2294290  Y 1219842
X 2294290  Y 1225354
X 2286416  Y 1208425
X 2286416  Y 1213936
X 2286416  Y 1219448
X 2286416  Y 1224960
X 2270472  Y 1208818
X 2270472  Y 1214330
X 2270472  Y 1219842
X 2270472  Y 1225354
X 2262597  Y 1208425
X 2262597  Y 1213936
X 2262597  Y 1219448
X 2262597  Y 1224960
X 2254723  Y 1208818
X 2254723  Y 1214330
X 2254723  Y 1219842
X 2254723  Y 1225354
X 2246849  Y 1208425
X 2246849  Y 1213936
X 2246849  Y 1219448
X 2246849  Y 1224960
X 2238975  Y 1208818
X 2238975  Y 1214330
