Drill Listing
=============
Drill: .012  Tool: 1  Feed: 0  Speed: 0
X 1226000  Y 1526500
X 1537930  Y 1542560
X 1709822  Y 1497586
X 2468000  Y 1525000
X 2473600  Y 1675600
X 2473500  Y 1666800
X 2471000  Y 1673000
X 2467600  Y 1680600
X 2467300  Y 1669600
X 2466000  Y 1558000
X 2460000  Y 1558500
X 2454000  Y 1559000
X 2395252  Y 1679203
X 2394848  Y 1669824
X 2382482  Y 1675291
X 2276912  Y 1622497
X 2087811  Y 1633285
X 1923770  Y 1559870
X 1375000  Y 1621000
X 1236430  Y 1649870
X 1222910  Y 1654570
X 1220000  Y 1558500
X 1213500  Y 1558500
X 1208000  Y 1559000
X 1176700  Y 1646100
X 1155429  Y 1648703
X 1129090  Y 1779820
X 1129682  Y 1763178
X 1129819  Y 1770398
X 1129956  Y 1773615
X 1130070  Y 1767205
X 1190301  Y 1739097
X 1204180  Y 1759670
X 1206980  Y 1748350
X 1207580  Y 1759670
X 1210380  Y 1748350
X 1222928  Y 1706120
X 1233829  Y 1690604
X 1288974  Y 1744187
X 1288974  Y 1740787
X 1295440  Y 1750390
X 1295440  Y 1746990
X 1384000  Y 1756000
X 1384000  Y 1723000
X 1405394  Y 1781468
X 1487779  Y 1778543
X 1578202  Y 1780857
X 1660486  Y 1779408
X 1758685  Y 1781095
X 1837676  Y 1779725
X 1936909  Y 1780199
X 2114052  Y 1780415
X 2197159  Y 1781507
X 2286263  Y 1779523
X 2381985  Y 1694121
X 2382460  Y 1761610
X 2385860  Y 1761610
X 2386860  Y 1736190
X 2386860  Y 1739590
X 2391530  Y 1759880
X 2394930  Y 1759880
X 2433506  Y 1751772
X 2433506  Y 1755172
X 2437630  Y 1731890
X 2437630  Y 1728490
X 2440683  Y 1745397
X 2440683  Y 1748797
X 2457200  Y 1688900
X 2290390  Y 1782646
X 2285040  Y 1797300
X 2123771  Y 1797747
X 2114188  Y 1784631
X 2014601  Y 1782510
X 1938935  Y 1784586
X 1931212  Y 1796702
X 1765222  Y 1796811
X 1761498  Y 1784201
X 1581264  Y 1784573
X 1407094  Y 1784997
X 1334700  Y 1851380
X 1334700  Y 1854780
X 1298160  Y 1855100
X 1294760  Y 1855100
X 1270660  Y 1846420
X 1267260  Y 1846420
X 1264320  Y 1850850
X 1261910  Y 1853260
X 1244430  Y 1844040
X 1242020  Y 1846450
X 1237960  Y 1849610
X 1237960  Y 1853010
X 1129978  Y 1783081
X 1227130  Y 1884110
X 1229540  Y 1881700
X 1243680  Y 1889810
X 1246090  Y 1887400
X 1246380  Y 1860860
X 1248790  Y 1863270
X 1252510  Y 1914740
X 1254920  Y 1917150
X 1261430  Y 1875160
X 1263420  Y 1900260
X 1263840  Y 1877570
X 1265830  Y 1897850
X 1271780  Y 1861550
X 1275180  Y 1861550
X 1290680  Y 1879790
X 1293090  Y 1877380
X 1302430  Y 1867550
X 1305830  Y 1867550
X 1312770  Y 1913880
X 1315180  Y 1911470
X 1326970  Y 1924520
X 1326970  Y 1927920
X 1344670  Y 1857980
X 1344670  Y 1861380
X 2349300  Y 1912610
X 2349300  Y 1909210
X 2359411  Y 1915171
X 2361816  Y 1917576
X 2387400  Y 1912440
X 2387400  Y 1915840
X 2395859  Y 1881530
X 2396000  Y 1907410
X 2396000  Y 1910810
X 2398263  Y 1883934
X 2405700  Y 1919670
X 2405700  Y 1923070
X 2407362  Y 1872976
X 2409766  Y 1875380
X 2419969  Y 1910604
X 2419969  Y 1914004
X 2429935  Y 1882513
X 2429935  Y 1879113
X 2430163  Y 1896080
X 2430163  Y 1892680
X 2490200  Y 1875400
X 2490500  Y 1895500
X 2490700  Y 1885000
X 2543000  Y 1885500
X 2543000  Y 1875500
X 2543300  Y 1895200
X 2391000  Y 1938000
X 2391000  Y 1934500
X 2371770  Y 1936370
X 2371770  Y 1939770
X 2241000  Y 2185900
X 2237900  Y 2188800
X 2236700  Y 2192900
X 2235800  Y 2196800
X 1678129  Y 2204022
X 1668696  Y 2202974
X 1544997  Y 2206387
X 1535411  Y 2202679
X 1533700  Y 2198900
X 1528120  Y 2190450
X 1556506  Y 2207422
X 1578153  Y 2217535
X 1681454  Y 2213434
X 2527500  Y 2217000
X 2533000  Y 2218500

Drill: .01969  Tool: 2  Feed: 0  Speed: 0
X 1057086  Y 1214724
X 1057086  Y 1220236
X 1057086  Y 1225748
X 1057086  Y 1231259
X 1064960  Y 1215118
X 1064960  Y 1220629
X 1064960  Y 1226141
X 1064960  Y 1231653
X 1072834  Y 1220236
X 1072834  Y 1225748
X 1072834  Y 1231259
X 1072834  Y 1214724
X 1080708  Y 1220629
X 1080708  Y 1226141
X 1080708  Y 1231653
X 1080708  Y 1215118
X 1088582  Y 1220236
X 1088582  Y 1225748
X 1088582  Y 1231259
X 1088582  Y 1214724
X 1096456  Y 1226141
X 1096456  Y 1231653
X 1096456  Y 1220629
X 1096456  Y 1215118
X 1104330  Y 1225748
X 1104330  Y 1231259
X 1104330  Y 1214724
X 1104330  Y 1220236
X 1112204  Y 1231653
X 1112204  Y 1220629
X 1112204  Y 1226141
X 1112204  Y 1215118
X 1120078  Y 1220236
X 1120078  Y 1231259
X 1120078  Y 1214724
X 1120078  Y 1225748
X 1127952  Y 1215118
X 1127952  Y 1220629
X 1127952  Y 1226141
X 1127952  Y 1231653
X 1143897  Y 1214724
X 1143897  Y 1220236
X 1143897  Y 1225748
X 1143897  Y 1231259
X 1151771  Y 1215118
X 1151771  Y 1220629
X 1151771  Y 1226141
X 1151771  Y 1231653
X 1159645  Y 1220236
X 1159645  Y 1225748
X 1159645  Y 1231259
X 1159645  Y 1214724
X 1167519  Y 1220629
X 1167519  Y 1226141
X 1167519  Y 1231653
X 1167519  Y 1215118
X 1175393  Y 1220236
X 1175393  Y 1225748
X 1175393  Y 1231259
X 1175393  Y 1214724
X 1183267  Y 1226141
X 1183267  Y 1231653
X 1183267  Y 1220629
X 1183267  Y 1215118
X 1191141  Y 1225748
X 1191141  Y 1231259
X 1191141  Y 1214724
X 1191141  Y 1220236
X 1199015  Y 1231653
X 1199015  Y 1220629
X 1199015  Y 1226141
X 1199015  Y 1215118
X 1206890  Y 1220236
X 1206890  Y 1231259
X 1206890  Y 1214724
X 1206890  Y 1225748
X 1214764  Y 1215118
X 1214764  Y 1220629
X 1214764  Y 1226141
X 1214764  Y 1231653
X 1342716  Y 1214724
X 1342716  Y 1220236
X 1342716  Y 1225748
X 1342716  Y 1231259
X 1350590  Y 1215118
X 1350590  Y 1220629
X 1350590  Y 1226141
X 1350590  Y 1231653
X 1358464  Y 1220236
X 1358464  Y 1225748
X 1358464  Y 1231259
X 1358464  Y 1214724
X 1366338  Y 1220629
X 1366338  Y 1226141
X 1366338  Y 1231653
X 1366338  Y 1215118
X 1374212  Y 1220236
X 1374212  Y 1225748
X 1374212  Y 1231259
X 1374212  Y 1214724
X 1382086  Y 1226141
X 1382086  Y 1231653
X 1382086  Y 1220629
X 1382086  Y 1215118
X 1389960  Y 1225748
X 1389960  Y 1231259
X 1389960  Y 1214724
X 1389960  Y 1220236
X 1397834  Y 1231653
X 1397834  Y 1220629
X 1397834  Y 1226141
X 1397834  Y 1215118
X 1405708  Y 1220236
X 1405708  Y 1231259
X 1405708  Y 1214724
