Drill Listing
=============
Drill: .012  Tool: 1  Feed: 95  Speed: 300
X 1163000  Y 1034000
X 1167900  Y 1044900

Drill: .02  Tool: 2  Feed: 197  Speed: 550
X 1116000  Y 1067700
X 1117000  Y 1120200
X 1143100  Y 1037500
X 1116700  Y 1167600
X 1115300  Y 1264800
X 1043500  Y 1390300
X 1115400  Y 1314000
X 1116600  Y 1362700
X 1226200  Y 1394200

Drill: .03937  Tool: 3  Feed: 197  Speed: 550
X 1010000  Y 1219000
X 1010000  Y 1229000
X 1257716  Y 1219000
X 1257716  Y 1229000
X 1257716  Y 1239000
X 1010000  Y 1239000

Drill: .04  Tool: 4  Feed: 139  Speed: 550
X 1063857  Y 1011827
X 1063857  Y 1021827
X 1073857  Y 1011827
X 1073857  Y 1021827
X 1083857  Y 1011827
X 1083857  Y 1021827
X 1093857  Y 1011827
X 1093857  Y 1021827
X 1103857  Y 1011827
X 1103857  Y 1021827
X 1113857  Y 1011827
X 1113857  Y 1021827
X 1123857  Y 1011827
X 1123857  Y 1021827
X 1133857  Y 1011827
X 1133857  Y 1021827
X 1143857  Y 1011827
X 1143857  Y 1021827
X 1153857  Y 1011827
X 1153857  Y 1021827
X 1163857  Y 1011827
X 1163857  Y 1021827
X 1173857  Y 1011827
X 1173857  Y 1021827
X 1183857  Y 1011827
X 1183857  Y 1021827
X 1193857  Y 1011827
X 1193857  Y 1021827
X 1203857  Y 1011827
X 1203857  Y 1021827
X 1189300  Y 1080000
X 1189300  Y 1070000
X 1189300  Y 1110000
X 1189300  Y 1090000
X 1078400  Y 1110000
X 1078400  Y 1080000
X 1078400  Y 1090000
X 1078400  Y 1070000
X 1078400  Y 1120000
X 1078400  Y 1130000
X 1078400  Y 1160000
X 1078400  Y 1150000
X 1189300  Y 1160000
X 1189300  Y 1150000
X 1189300  Y 1120000
X 1189300  Y 1130000
X 1189300  Y 1170000
X 1189300  Y 1200000
X 1189300  Y 1210000
X 1189300  Y 1190000
X 1078400  Y 1170000
X 1078400  Y 1200000
X 1078400  Y 1210000
X 1078400  Y 1190000
X 1078400  Y 1230000
X 1078400  Y 1240000
X 1078400  Y 1250000
X 1189300  Y 1240000
X 1189300  Y 1230000
X 1189300  Y 1250000
X 1189300  Y 1280000
X 1189300  Y 1270000
X 1189300  Y 1310000
X 1189300  Y 1290000
X 1078400  Y 1290000
X 1078400  Y 1280000
X 1078400  Y 1270000
X 1078400  Y 1310000
X 1078400  Y 1320000
X 1078400  Y 1330000
X 1078400  Y 1360000
X 1078400  Y 1350000
X 1189300  Y 1320000
X 1189300  Y 1330000
X 1189300  Y 1360000
X 1189300  Y 1350000
X 1203857  Y 1436172
X 1193857  Y 1436172
X 1189300  Y 1370000
X 1183857  Y 1436172
X 1173857  Y 1436172
X 1163857  Y 1436172
X 1153857  Y 1436172
X 1143857  Y 1436172
X 1133857  Y 1436172
X 1123857  Y 1436172
X 1113857  Y 1436172
X 1103857  Y 1436172
X 1093857  Y 1436172
X 1083857  Y 1436172
X 1078400  Y 1370000
X 1073857  Y 1436172
X 1063857  Y 1436172
X 1063857  Y 1446172
X 1073857  Y 1446172
X 1083857  Y 1446172
X 1093857  Y 1446172
X 1103857  Y 1446172
X 1113857  Y 1446172
X 1123857  Y 1446172
X 1133857  Y 1446172
X 1143857  Y 1446172
X 1153857  Y 1446172
X 1163857  Y 1446172
X 1173857  Y 1446172
X 1183857  Y 1446172
X 1193857  Y 1446172
X 1203857  Y 1446172

Drill: .04134  Tool: 5  Feed: 139  Speed: 550
X 1090692  Y 1044500
X 1090692  Y 1068500
X 1177307  Y 1068500
X 1177307  Y 1044500
X 1177307  Y 1092500
X 1177307  Y 1116500
X 1177307  Y 1140500
X 1090692  Y 1092500
X 1090692  Y 1116500
X 1090692  Y 1140500
X 1090692  Y 1164500
X 1090692  Y 1188500
X 1090692  Y 1236500
X 1090692  Y 1212500
X 1177307  Y 1236500
X 1177307  Y 1164500
X 1177307  Y 1212500
X 1177307  Y 1188500
X 1177307  Y 1260500
X 1177307  Y 1284500
X 1177307  Y 1308500
X 1090692  Y 1284500
X 1090692  Y 1308500
X 1090692  Y 1260500
X 1090692  Y 1332500
X 1090692  Y 1356500
X 1090692  Y 1380500
X 1177307  Y 1332500
X 1177307  Y 1356500
X 1177307  Y 1380500
X 1177307  Y 1405500
X 1090692  Y 1405500

Drill: .05512  Tool: 6  Feed: 107  Speed: 550
X 1055394  Y 1059016
X 1055394  Y 1079016
X 1212323  Y 1059016
X 1212323  Y 1079016
X 1212323  Y 1099016
X 1212323  Y 1119016
X 1212323  Y 1139016
X 1212323  Y 1159016
X 1055394  Y 1159016
X 1055394  Y 1139016
X 1055394  Y 1119016
X 1055394  Y 1099016
X 1055394  Y 1179016
X 1055394  Y 1199016
X 1055394  Y 1219016
X 1212323  Y 1199016
X 1212323  Y 1179016
X 1212323  Y 1219016
X 1212323  Y 1239016
X 1212323  Y 1259016
X 1212323  Y 1279016
X 1055394  Y 1239016
X 1055394  Y 1279016
X 1055394  Y 1259016
X 1055394  Y 1299016
X 1055394  Y 1319016
X 1055394  Y 1359016
X 1055394  Y 1339016
X 1212323  Y 1339016
X 1212323  Y 1299016
X 1212323  Y 1319016
X 1212323  Y 1359016
X 1212323  Y 1379016
X 1212323  Y 1399016
X 1055394  Y 1399016
X 1055394  Y 1379016

Drill: .09449  Tool: 7  Feed: 66  Speed: 550
X 1055394  Y 1039016
X 1212323  Y 1039016
X 1212323  Y 1419016
X 1055394  Y 1419016

Drill: .26896  Tool: 8  Feed: 0  Speed: 0
X 1021653  Y 1021653
X 1246062  Y 1021653
X 1246062  Y 1436338
X 1021654  Y 1436339

End of Listing
