Drill Listing
=============
Drill: .012  Tool: 1  Feed: 95  Speed: 300
X 1179600  Y 1109600
X 1180300  Y 1072900
X 1190300  Y 1044300
X 1156030  Y 1164070
Drill: .02  Tool: 2  Feed: 197  Speed: 550
X 1045000  Y 1067500
X 1045000  Y 1107500
X 1123990  Y 1035380
X 1115000  Y 1209200
X 1111160  Y 1184880
X 1088330  Y 1170590
X 1040000  Y 1167500
X 1080460  Y 1228070
X 1101500  Y 1258050
X 1115000  Y 1234200
X 1115000  Y 1247300
X 1115000  Y 1222300
X 1115000  Y 1259200
X 1150000  Y 1235700
X 1150000  Y 1223800
X 1150000  Y 1210700
X 1150000  Y 1248800
X 1230000  Y 1272500
X 1150000  Y 1273800
X 1150000  Y 1260700
X 1150000  Y 1299700
X 1115000  Y 1298200
X 1115000  Y 1272300
X 1044500  Y 1289000
X 1037500  Y 1312500
X 1045000  Y 1347500
X 1081800  Y 1324140
X 1115000  Y 1311300
X 1115000  Y 1323700
X 1115000  Y 1349700
X 1115000  Y 1336800
X 1150000  Y 1325200
X 1150000  Y 1312800
X 1150000  Y 1338300
X 1150000  Y 1351200
X 1225000  Y 1310000
X 1231250  Y 1406870
X 1150000  Y 1364300
X 1115000  Y 1362800
X 1113520  Y 1399000
X 1044880  Y 1368880
Drill: .04  Tool: 3  Feed: 139  Speed: 550
X 1063858  Y 1009859
X 1063858  Y 1019859
X 1073858  Y 1009859
X 1073858  Y 1019859
X 1083858  Y 1009859
X 1083858  Y 1019859
X 1093858  Y 1009859
X 1093858  Y 1019859
X 1103858  Y 1009859
X 1103858  Y 1019859
X 1113858  Y 1009859
X 1113858  Y 1019859
X 1123858  Y 1009859
X 1123858  Y 1019859
X 1133858  Y 1009859
X 1133858  Y 1019859
X 1143858  Y 1009859
X 1143858  Y 1019859
X 1153858  Y 1009859
X 1153858  Y 1019859
X 1163858  Y 1009859
X 1163858  Y 1019859
X 1173858  Y 1009859
X 1173858  Y 1019859
X 1183858  Y 1009859
X 1183858  Y 1019859
X 1193858  Y 1009859
X 1193858  Y 1019859
X 1203858  Y 1009859
X 1203858  Y 1019859
X 1188500  Y 1157000
X 1188500  Y 1167000
X 1188500  Y 1177000
X 1188500  Y 1200000
X 1188500  Y 1210000
X 1188500  Y 1220000
X 1188500  Y 1253000
X 1188500  Y 1243000
X 1188500  Y 1263000
X 1188500  Y 1296500
X 1188500  Y 1306500
X 1188500  Y 1286500
X 1188500  Y 1329500
X 1188500  Y 1339500
X 1188500  Y 1349500
X 1188500  Y 1383500
X 1188500  Y 1373500
X 1203858  Y 1438141
X 1203858  Y 1448141
X 1193858  Y 1438141
X 1193858  Y 1448141
X 1188500  Y 1393500
X 1183858  Y 1438141
X 1183858  Y 1448141
X 1173858  Y 1448141
X 1173858  Y 1438141
X 1163858  Y 1438141
X 1163858  Y 1448141
X 1153858  Y 1448141
X 1153858  Y 1438141
X 1143858  Y 1438141
X 1143858  Y 1448141
X 1133858  Y 1448141
X 1133858  Y 1438141
X 1123858  Y 1438141
X 1123858  Y 1448141
X 1113858  Y 1448141
X 1113858  Y 1438141
X 1103858  Y 1448141
X 1103858  Y 1438141
X 1093858  Y 1448141
X 1093858  Y 1438141
X 1083858  Y 1448141
X 1083858  Y 1438141
X 1073858  Y 1448141
X 1073858  Y 1438141
X 1063858  Y 1448141
X 1063858  Y 1438141
Drill: .04134  Tool: 4  Feed: 139  Speed: 550
X 1081692  Y 1065000
X 1081692  Y 1095000
X 1168307  Y 1065000
X 1168307  Y 1095000
X 1168307  Y 1125000
X 1168307  Y 1155000
X 1081692  Y 1155000
X 1081692  Y 1125000
X 1081692  Y 1185000
X 1081692  Y 1215000
X 1168307  Y 1185000
X 1168307  Y 1215000
X 1168307  Y 1254000
X 1168307  Y 1275000
X 1081692  Y 1275000
X 1081692  Y 1254000
X 1081692  Y 1305000
X 1081692  Y 1335000
X 1168307  Y 1305000
X 1168307  Y 1335000
X 1168307  Y 1365000
X 1168307  Y 1395000
X 1081692  Y 1395000
X 1081692  Y 1365000
Drill: .05512  Tool: 5  Feed: 107  Speed: 550
X 1055393  Y 1059015
X 1055393  Y 1079015
X 1212322  Y 1059015
X 1212322  Y 1079015
X 1212322  Y 1099015
X 1212322  Y 1119015
X 1055393  Y 1119015
X 1055393  Y 1099015
X 1055393  Y 1159015
X 1055393  Y 1139015
X 1055393  Y 1179015
X 1212322  Y 1159015
X 1212322  Y 1139015
X 1212322  Y 1179015
X 1212322  Y 1199015
X 1212322  Y 1219015
X 1055393  Y 1219015
X 1055393  Y 1199015
X 1055393  Y 1259015
X 1055393  Y 1239015
X 1055393  Y 1279015
X 1212322  Y 1259015
X 1212322  Y 1239015
X 1212322  Y 1279015
X 1212322  Y 1299015
X 1212322  Y 1319015
X 1055393  Y 1319015
X 1055393  Y 1299015
X 1055393  Y 1359015
X 1055393  Y 1339015
X 1055393  Y 1379015
X 1212322  Y 1359015
X 1212322  Y 1379015
X 1212322  Y 1339015
X 1212322  Y 1399015
X 1055393  Y 1399015
Drill: .09449  Tool: 6  Feed: 66  Speed: 550
X 1055393  Y 1039015
X 1212322  Y 1039015
X 1212322  Y 1419015
X 1055393  Y 1419015
Drill: .14  Tool: 7  Feed: 35  Speed: 900
X 1034409  Y 1015590
X 1233267  Y 1015590
X 1233267  Y 1445551
X 1034409  Y 1445551
End of Listing
