Drill Listing
=============
Drill: .012  Tool: 1  Feed: 95  Speed: 300
X 1059400  Y 1057600
X 1045700  Y 1069500
X 1070000  Y 1117811
X 1067500  Y 1140311
X 1070900  Y 1172700
X 1070800  Y 1177000
X 1021500  Y 1244500
X 1021500  Y 1248500
X 1021500  Y 1268000
X 1021500  Y 1273000
X 1071000  Y 1295000
X 1033900  Y 1322700
X 1070800  Y 1326600
X 1038100  Y 1327100
X 1092000  Y 1425500
X 1088000  Y 1425200
X 1084500  Y 1411000
X 1092000  Y 1410500
X 1077500  Y 1295500
X 1087000  Y 1189811
X 1086000  Y 1181311
X 1078500  Y 1173311
X 1084000  Y 1165811
X 1083000  Y 1156811
X 1072500  Y 1156811
X 1088000  Y 1140311
X 1075000  Y 1136811
X 1085118  Y 1134311
X 1088500  Y 1121811
X 1082500  Y 1117811
X 1095000  Y 1117811
X 1074500  Y 1043500
X 1101500  Y 1117311
X 1113500  Y 1117811
X 1101000  Y 1126311
X 1117500  Y 1134311
X 1097500  Y 1134311
X 1105000  Y 1140311
X 1105000  Y 1156811
X 1117000  Y 1156811
X 1110000  Y 1156811
X 1101500  Y 1156811
X 1120500  Y 1160811
X 1098000  Y 1163811
X 1102500  Y 1166311
X 1113000  Y 1192811
X 1107800  Y 1288711
X 1120000  Y 1301000
X 1114500  Y 1410000
X 1099500  Y 1410500
X 1107000  Y 1410500
X 1099500  Y 1426000
X 1114500  Y 1426000
X 1107000  Y 1426000
X 1144500  Y 1426500
X 1129500  Y 1426000
X 1137000  Y 1426000
X 1122000  Y 1426000
X 1144500  Y 1411500
X 1129500  Y 1411000
X 1122000  Y 1410500
X 1137500  Y 1409500
X 1136000  Y 1308000
X 1141000  Y 1304500
X 1121500  Y 1297000
X 1126100  Y 1288411
X 1124500  Y 1195311
X 1129000  Y 1189811
X 1144500  Y 1186811
X 1132500  Y 1178811
X 1130500  Y 1171311
X 1127500  Y 1165811
X 1125000  Y 1158811
X 1135000  Y 1157311
X 1142500  Y 1156811
X 1142500  Y 1140311
X 1122500  Y 1138811
X 1142500  Y 1134311
X 1130000  Y 1134311
X 1126000  Y 1126311
X 1121500  Y 1117811
X 1135000  Y 1117811
X 1170000  Y 1117811
X 1157500  Y 1117811
X 1147000  Y 1117811
X 1164000  Y 1126811
X 1163500  Y 1132811
X 1147618  Y 1134311
X 1163000  Y 1140311
