Drill Listing
=============
Drill: .01  Tool: 1  Feed: 95  Speed: 300
X 1156000  Y 1076300
X 1156600  Y 1133900
X 1157000  Y 1112500
X 1157000  Y 1125138
X 1157000  Y 1067600
X 1157000  Y 1170138
X 1157000  Y 1202500
X 1157000  Y 1215138
X 1156500  Y 1178799
X 1156400  Y 1219600
X 1076000  Y 1269000
X 1094400  Y 1264200
X 1143000  Y 1249000
X 1143500  Y 1276000
X 1156275  Y 1268799
X 1156275  Y 1277461
X 1156500  Y 1247500
X 1156775  Y 1260138
X 1157000  Y 1305200
X 1156800  Y 1313800
X 1156500  Y 1292500
X 1142400  Y 1304000
X 1142400  Y 1331200
X 1094200  Y 1320100
X 1078500  Y 1290000
X 1100900  Y 1375600
X 1117000  Y 1356200
X 1149400  Y 1361000
X 1149400  Y 1387000
X 1080200  Y 1425500

Drill: .012  Tool: 2  Feed: 95  Speed: 300
X 1101000  Y 1099400
X 1101200  Y 1076400
X 1156500  Y 1056500
X 1230000  Y 1110000
X 1262500  Y 1058000
X 1231000  Y 1166000
X 1156800  Y 1157600
X 1101000  Y 1174400
X 1101000  Y 1136000
X 1100200  Y 1204900
X 1105800  Y 1240800
X 1110000  Y 1244200
X 1235700  Y 1216000
X 1235863  Y 1255400
X 1235499  Y 1295300
X 1235390  Y 1335921
X 1108100  Y 1299200
X 1102500  Y 1293000
X 1080700  Y 1375200
X 1106500  Y 1349000

Drill: .02  Tool: 3  Feed: 197  Speed: 550
X 1100700  Y 1054500
X 1113779  Y 1054724
X 1134000  Y 1055000
X 1141900  Y 1030500
X 1148900  Y 1029100
X 1162500  Y 1045000
X 1170000  Y 1045000
X 1170000  Y 1037500
X 1177500  Y 1045000
X 1177500  Y 1037500
X 1185000  Y 1045000
X 1186600  Y 1107800
X 1156500  Y 1084961
X 1112500  Y 1086500
X 1112500  Y 1121500
X 1073300  Y 1069300
X 1112500  Y 1161000
X 1112500  Y 1199800
X 1156200  Y 1187600
X 1156500  Y 1142461
X 1156200  Y 1232400
X 1125400  Y 1236300
X 1120140  Y 1216450
X 1072300  Y 1266600
X 1070400  Y 1308600
X 1117000  Y 1287500
X 1125000  Y 1294500
X 1127200  Y 1343400
X 1131700  Y 1350200
X 1163000  Y 1331500
X 1134600  Y 1399000
X 1082000  Y 1415500

Drill: .03937  Tool: 4  Feed: 197  Speed: 550
X 1022500  Y 1060866
X 1022500  Y 1050866
X 1022500  Y 1070866
X 1245000  Y 1050866
X 1245000  Y 1060866
X 1245000  Y 1070866
X 1245000  Y 1354015
X 1022500  Y 1354015
X 1022500  Y 1374015
X 1022500  Y 1364015
X 1245000  Y 1374015
X 1245000  Y 1364015

Drill: .04  Tool: 5  Feed: 139  Speed: 550
X 1063858  Y 1021826
X 1063858  Y 1011826
X 1073858  Y 1021826
X 1073858  Y 1011826
X 1083858  Y 1021826
X 1083858  Y 1011826
X 1093858  Y 1021826
X 1093858  Y 1011826
X 1103858  Y 1021826
