Drill Listing
=============
Drill: .012  Tool: 1  Feed: 95  Speed: 300
X 1052500  Y 1046000
X 1038100  Y 1065200
X 1020500  Y 1084100
X 1017400  Y 1087900
X 1010200  Y 1088000
X 1025800  Y 1088200
X 1020900  Y 1095300
X 1031700  Y 1098300
X 1015200  Y 1104400
X 1009900  Y 1104600
X 1021500  Y 1244500
X 1021500  Y 1248500
X 1021500  Y 1268000
X 1021500  Y 1273000
X 1038200  Y 1322700
X 1033200  Y 1349100
X 1030400  Y 1352300
X 1036600  Y 1353100
X 1033200  Y 1355400
X 1038400  Y 1364600
X 1033700  Y 1366500
X 1038100  Y 1368800
X 1038900  Y 1374300
X 1082900  Y 1424200
X 1071400  Y 1416700
X 1080200  Y 1411500
X 1075100  Y 1411300
X 1068500  Y 1410900
X 1063500  Y 1410400
X 1070800  Y 1326600
X 1084500  Y 1162600
X 1084300  Y 1155600
X 1075800  Y 1155500
X 1083400  Y 1147800
X 1076500  Y 1147700
X 1072500  Y 1139500
X 1070800  Y 1134500
X 1078500  Y 1134000
X 1081600  Y 1124900
X 1072500  Y 1117000
X 1074500  Y 1043500
X 1085000  Y 1117000
X 1097500  Y 1117000
X 1087700  Y 1125500
X 1094100  Y 1132700
X 1085000  Y 1133400
X 1101800  Y 1133400
X 1089700  Y 1136700
X 1097500  Y 1139500
X 1085000  Y 1139500
X 1094800  Y 1146100
X 1108900  Y 1147200
X 1090000  Y 1147200
X 1100200  Y 1147500
X 1105800  Y 1151000
X 1106100  Y 1155800
X 1102900  Y 1156700
X 1092800  Y 1157000
X 1089800  Y 1161100
X 1099300  Y 1162600
X 1109200  Y 1167200
X 1086100  Y 1167200
X 1102900  Y 1404300
X 1106200  Y 1410700
X 1100000  Y 1410800
X 1092100  Y 1411000
X 1108700  Y 1414000
X 1095100  Y 1415600
X 1085200  Y 1419200
X 1096000  Y 1423400
X 1133100  Y 1420700
X 1121700  Y 1413700
X 1111000  Y 1411600
X 1124900  Y 1411300
X 1118800  Y 1411200
X 1128100  Y 1409200
X 1133000  Y 1405300
X 1113500  Y 1402300
X 1116100  Y 1399400
X 1110400  Y 1396000
X 1122400  Y 1377500
X 1133300  Y 1376100
X 1133200  Y 1357300
X 1132400  Y 1345800
X 1132700  Y 1340500
X 1127500  Y 1161600
X 1110100  Y 1158200
X 1118200  Y 1153200
X 1131000  Y 1149800
X 1122100  Y 1139200
X 1110000  Y 1139200
X 1109900  Y 1133000
X 1116500  Y 1132800
X 1129400  Y 1132800
X 1132100  Y 1129000
X 1130200  Y 1125100
X 1122300  Y 1125000
X 1110000  Y 1117000
X 1122500  Y 1117000
X 1147500  Y 1117000
X 1135000  Y 1117000
X 1142500  Y 1125700
X 1135000  Y 1133000
X 1151500  Y 1133200
X 1156300  Y 1133600
X 1146700  Y 1135600
