Drill Listing
=============
Drill: .008  Tool: 1  Feed: 0  Speed: 0
X 1049000  Y 1062500
X 1053000  Y 1029500
X 1054500  Y 1045000
X 1142500  Y 1060000
X 1161000  Y 1034500
X 1169000  Y 1052140
X 1182100  Y 1055200
X 1188000  Y 1045200
X 1193700  Y 1056300
X 1197700  Y 1056300
X 1205000  Y 1060500
X 1212900  Y 1062900
X 1213000  Y 1057000
X 1226700  Y 1057700
X 1232600  Y 1055400
X 1248120  Y 1058960
X 1250650  Y 1013960
X 1251003  Y 1053314
X 1251003  Y 1049377
X 1251003  Y 1061188
X 1251003  Y 1045440
X 1251003  Y 1041503
X 1254700  Y 1057400
X 1254940  Y 1041503
X 1254940  Y 1045440
X 1258800  Y 1041300
X 1258877  Y 1053314
X 1258877  Y 1061188
X 1258877  Y 1057251
X 1258877  Y 1049377
X 1262815  Y 1057251
X 1262815  Y 1061188
X 1262815  Y 1053314
X 1263000  Y 1049500
X 1265930  Y 1020520
X 1266752  Y 1045440
X 1266752  Y 1041503
X 1266752  Y 1053314
X 1267000  Y 1049500
X 1268500  Y 1034000
X 1270689  Y 1053314
X 1270689  Y 1041503
X 1270689  Y 1045440
X 1271000  Y 1049500
X 1273000  Y 1025500
X 1273000  Y 1059000
X 1274500  Y 1049500
X 1274626  Y 1045440
X 1274626  Y 1041503
X 1274626  Y 1053314
X 1278500  Y 1049500
X 1278563  Y 1053314
X 1278563  Y 1045440
X 1286000  Y 1053500
X 1286437  Y 1049377
X 1286437  Y 1045440
X 1286437  Y 1041503
X 1290000  Y 1053500
X 1290374  Y 1049377
X 1290374  Y 1041503
X 1290374  Y 1045440
X 1294311  Y 1049377
X 1294311  Y 1045440
X 1294500  Y 1053300
X 1297000  Y 1020200
X 1297300  Y 1024300
X 1297500  Y 1041500
X 1298248  Y 1045440
X 1298248  Y 1053314
X 1298248  Y 1049377
X 1301500  Y 1041500
X 1301900  Y 1053200
X 1302185  Y 1045440
X 1302185  Y 1049377
X 1302185  Y 1061188
X 1302500  Y 1057000
X 1303500  Y 1027600
X 1306122  Y 1061188
X 1306122  Y 1053314
X 1306122  Y 1045440
X 1306122  Y 1041503
X 1306122  Y 1049377
X 1306200  Y 1057400
X 1306500  Y 1028000
X 1309000  Y 1019500
X 1310000  Y 1053500
X 1310059  Y 1049377
X 1310059  Y 1041503
X 1310059  Y 1061188
X 1310059  Y 1045440
X 1311000  Y 1037000
X 1311000  Y 1028000
X 1313996  Y 1049377
X 1313996  Y 1061188
X 1313996  Y 1045440
X 1314000  Y 1041500
X 1314100  Y 1053900
X 1317000  Y 1029000
X 1325000  Y 1028500
X 1329000  Y 1061000
X 1329730  Y 1037130
X 1332700  Y 1057700
X 1333070  Y 1044800
X 1336500  Y 1061300
X 1336600  Y 1043000
X 1337400  Y 1050200
X 1338000  Y 1032500
X 1340000  Y 1035600
X 1349600  Y 1030500
X 1351400  Y 1054800
X 1351900  Y 1041200
X 1352300  Y 1061200
X 1443800  Y 1059400
X 1445000  Y 1062000
X 1477400  Y 1055000
X 1477900  Y 1046400
X 1481830  Y 1044460
X 1515520  Y 1059120
X 1515520  Y 1056540
X 1520500  Y 1032500
X 1531450  Y 1045000
X 1536550  Y 1067480
X 1536550  Y 1064900
X 1533340  Y 1081370
X 1520880  Y 1064770
X 1519950  Y 1070920
X 1510930  Y 1076880
X 1510930  Y 1079460
X 1500060  Y 1063760
X 1500030  Y 1078760
X 1496310  Y 1065410
X 1496310  Y 1068050
X 1482500  Y 1082500
X 1482270  Y 1079640
X 1479340  Y 1067420
X 1474680  Y 1073840
X 1474220  Y 1069290
X 1462000  Y 1084500
X 1460500  Y 1074370
X 1460190  Y 1078290
X 1457900  Y 1070300
X 1441200  Y 1069100
X 1438630  Y 1078250
X 1417500  Y 1083400
X 1412810  Y 1076630
X 1404870  Y 1070720
X 1402700  Y 1079100
X 1398100  Y 1079000
X 1370000  Y 1086500
X 1367500  Y 1086500
X 1364500  Y 1086500
X 1361400  Y 1086510
X 1352800  Y 1068100
X 1352000  Y 1075300
X 1351800  Y 1082900
X 1338100  Y 1082700
X 1337700  Y 1068800
X 1334400  Y 1076000
X 1329000  Y 1076500
X 1329000  Y 1085500
X 1329000  Y 1082100
X 1329000  Y 1065500
X 1314300  Y 1073200
X 1310200  Y 1084900
X 1310059  Y 1080874
X 1310059  Y 1073000
X 1310059  Y 1065125
X 1306122  Y 1080874
X 1306122  Y 1073000
X 1306122  Y 1084811
X 1306122  Y 1069062
X 1302185  Y 1073000
X 1302185  Y 1069062
X 1302185  Y 1080874
X 1302000  Y 1065000
X 1296500  Y 1082500
X 1295500  Y 1064000
X 1290374  Y 1069062
X 1290374  Y 1076937
X 1290374  Y 1080874
X 1290374  Y 1065125
X 1286437  Y 1080874
X 1286437  Y 1069062
X 1286437  Y 1065125
X 1286437  Y 1076937
X 1278563  Y 1069062
X 1278563  Y 1080874
X 1278563  Y 1076937
X 1278563  Y 1065125
X 1274626  Y 1080874
X 1274626  Y 1076937
X 1274626  Y 1065125
X 1274500  Y 1069000
X 1270100  Y 1085700
X 1262815  Y 1076937
X 1262815  Y 1065125
X 1258877  Y 1080874
X 1258877  Y 1065125
X 1258877  Y 1073000
X 1258877  Y 1076937
X 1254940  Y 1073000
X 1254940  Y 1084811
X 1254940  Y 1080874
X 1254940  Y 1065125
X 1251003  Y 1084811
X 1251003  Y 1080874
X 1251003  Y 1065125
X 1251000  Y 1076500
X 1244010  Y 1081090
X 1233500  Y 1081000
X 1232500  Y 1066000
X 1232500  Y 1075000
X 1226500  Y 1070000
X 1226500  Y 1063500
X 1223000  Y 1080000
X 1213500  Y 1076500
X 1213300  Y 1070200
X 1204500  Y 1077000
X 1131840  Y 1064000
X 1131270  Y 1070970
X 1116000  Y 1064000
X 1101980  Y 1082090
X 1086500  Y 1087500
X 1072100  Y 1080000
X 1046000  Y 1081000
X 1043000  Y 1099500
X 1069950  Y 1095500
X 1072000  Y 1103500
X 1075850  Y 1099410
X 1086000  Y 1103500
X 1088000  Y 1101000
X 1115500  Y 1110000
X 1130790  Y 1091500
X 1131000  Y 1106000
X 1131000  Y 1109000
X 1131500  Y 1103000
X 1137000  Y 1096000
X 1144500  Y 1107000
X 1148000  Y 1095500
X 1158400  Y 1101100
X 1159300  Y 1110400
X 1160000  Y 1105000
X 1160900  Y 1098800
X 1169500  Y 1092200
X 1174000  Y 1099000
X 1174500  Y 1104500
X 1175000  Y 1111500
X 1226000  Y 1111000
X 1234500  Y 1089500
X 1237300  Y 1098100
X 1244000  Y 1089500
X 1248000  Y 1099500
X 1251003  Y 1104496
X 1251003  Y 1100559
X 1251100  Y 1088600
X 1254940  Y 1088748
X 1254940  Y 1092685
X 1254940  Y 1100559
X 1254940  Y 1104496
X 1254940  Y 1096622
X 1258500  Y 1100500
X 1258877  Y 1088748
X 1258877  Y 1092685
X 1258877  Y 1096622
X 1259000  Y 1110000
X 1262815  Y 1100559
X 1262815  Y 1088748
X 1262815  Y 1104496
X 1262815  Y 1092685
X 1263000  Y 1096500
X 1266000  Y 1111000
X 1266700  Y 1104700
X 1266752  Y 1092685
X 1270500  Y 1092700
X 1270500  Y 1100500
X 1270689  Y 1096622
X 1274500  Y 1092800
X 1278400  Y 1092700
X 1290374  Y 1092685
X 1290374  Y 1096622
X 1290374  Y 1104496
X 1294311  Y 1104496
X 1294311  Y 1100559
X 1294311  Y 1096622
X 1294311  Y 1092685
X 1298248  Y 1104496
X 1298248  Y 1100559
X 1298248  Y 1096622
X 1298248  Y 1092685
X 1302185  Y 1092685
X 1302185  Y 1104496
X 1302185  Y 1096622
X 1306000  Y 1096000
X 1306122  Y 1100559
X 1310059  Y 1100559
X 1310059  Y 1104496
X 1310059  Y 1088748
X 1313996  Y 1104496
X 1313996  Y 1092685
X 1319500  Y 1099000
X 1319500  Y 1094500
X 1322380  Y 1107230
X 1328500  Y 1099000
X 1328500  Y 1094500
X 1329000  Y 1089600
X 1331500  Y 1106900
X 1336600  Y 1094100
X 1337800  Y 1103800
X 1338300  Y 1089700
X 1351300  Y 1101000
X 1351700  Y 1090100
