*PADS-ECO-V9.0.1-MILS*
*REMARK*  old file: D:\Vijay\SVN\NGP_ODC\PDLC\Prodigy HW files\IES\Rev3\Schematics\18-IES-NGP_rev3-156406.asc
*REMARK*  new file: D:\Vijay\SVN\NGP_ODC\PDLC\Prodigy HW files\IES\Rev3\Schematics\18-IES-NGP_rev3.asc
*REMARK*  created by ECOGEN (Version 6.4v) on 7/25/2012 3:27:57 PM

PART DIFFERENCES
----------------
OLD DESIGN                                        NEW DESIGN
Ref-des	Part-type:Decal                           Ref-des	Part-type:Decal
F1   0157005.DR                                   F1   FUS-5A-125V-0157005.DR
F2   0157005.DR                                   F2   FUS-5A-125V-0157005.DR
J1   10028917-001LF                               J1   CON-TH_RA-2X2-10028917-001LF
U10   24LC01B:24LC01B                             U10   IC-EEPROM-8-SOIC-24LC16B-I/SN:SO8
U12   24LC01B:24LC01B                             U12   IC-EEPROM-8-SOIC-24LC16B-I/SN:SO8
U14   24LC01B:24LC01B                             U14   IC-EEPROM-8-SOIC-24LC16B-I/SN:SO8
U16   24LC01B:24LC01B                             U16   IC-EEPROM-8-SOIC-24LC16B-I/SN:SO8
U18   24LC01B:24LC01B                             U18   IC-EEPROM-8-SOIC-24LC16B-I/SN:SO8
U5   24LC01B:24LC01B                              U5   IC-EEPROM-8-SOIC-24LC16B-I/SN:SO8
U8   24LC01B:24LC01B                              U8   IC-EEPROM-8-SOIC-24LC16B-I/SN:SO8
U3   ADG774BR                                     U3   IC-MUX-16-SOIC-ADG774BRZ
C341   CAPC-1000PF-2KV-1206-X7R:1206              C341   CAP-0.001UF-2000V-1206-10%-1206GC102KAT#:C1206
C245   CAP_0.015UF_16V_CAP-CC05:0402              C245   CAP-0.015UF-16V-0402-10%-C0402C153K4RAC#:C0402
C1   CAP_100NF_50V_0603:0603                      C1   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C100   CAP_100NF_50V_0603:0603                    C100   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C101   CAP_100NF_50V_0603:0603                    C101   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C102   CAP_100NF_50V_0603:0603                    C102   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C103   CAP_100NF_50V_0603:0603                    C103   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C104   CAP_100NF_50V_0603:0603                    C104   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C105   CAP_100NF_50V_0603:0603                    C105   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C106   CAP_100NF_50V_0603:0603                    C106   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C107   CAP_100NF_50V_0603:0603                    C107   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C108   CAP_100NF_50V_0603:0603                    C108   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C109   CAP_100NF_50V_0603:0603                    C109   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C12   CAP_100NF_50V_0603:0603                     C12   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C122   CAP_100NF_50V_0603:0603                    C122   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C126   CAP_100NF_50V_0603:0603                    C126   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C128   CAP_100NF_50V_0603:0603                    C128   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C129   CAP_100NF_50V_0603:0603                    C129   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C13   CAP_100NF_50V_0603:0603                     C13   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C130   CAP_100NF_50V_0603:0603                    C130   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C131   CAP_100NF_50V_0603:0603                    C131   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C136   CAP_100NF_50V_0603:0603                    C136   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C137   CAP_100NF_50V_0603:0603                    C137   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C138   CAP_100NF_50V_0603:0603                    C138   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
