RefDes     X          Y          Rot.       Exact     (FREE)    Side
C1         3170.0026  1410.0002  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C2         3080.0026  600.0002   090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C3         3170.0026  1610.0002  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C4         2866.7900  817.2600   180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C5         2672.7900  1104.2600  180        EXACT     (FREE)    L1_TOP_SIDE                   
C6         3050.0026  365.0002   270        EXACT     (FREE)    L1_TOP_SIDE                   
C7         3025.7900  635.2600   000        EXACT     (FREE)    L1_TOP_SIDE                   
C8         3300.0026  1019.0002  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C9         3045.0026  475.0002   270        EXACT     (FREE)    L1_TOP_SIDE                   
C10        2945.0026  530.0002   000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C11        2776.7900  982.2600   000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C12        2776.7900  852.2600   000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C13        4110.0026  1160.0002  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C14        3228.0026  271.0002   000        EXACT     (FREE)    L1_TOP_SIDE                   
C15        3355.0026  675.0002   000        EXACT     (FREE)    L1_TOP_SIDE                   
C16        2778.7900  1186.2600  000        EXACT     (FREE)    L1_TOP_SIDE                   
C17        2960.0026  1020.0002  090        EXACT     (FREE)    L1_TOP_SIDE                   
C18        3310.0026  1273.0002  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C19        2955.0026  1265.0002  090        EXACT     (FREE)    L1_TOP_SIDE                   
C20        3363.0026  1510.0002  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C21        5100.0000  650.0000   270        EXACT     (FREE)    L1_TOP_SIDE                   
C22        3495.0026  1160.0002  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C23        5100.0000  1025.0000  270        EXACT     (FREE)    L1_TOP_SIDE                   
C24        4170.0026  4075.0002  270        EXACT     (FREE)    L1_TOP_SIDE                   
C25        3376.0026  1024.0002  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C26        4860.0026  3065.0002  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
