RefDes     X          Y          Rot.       Exact     (FREE)    Side
C1         2800.0000  1040.0000  270        EXACT     (FREE)    L1_TOP SIDE                   
C2         2800.0000  1250.0000  000        EXACT     (FREE)    L1_TOP SIDE                   
C3         2675.0000  1250.0000  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C4         1575.0000  825.0000   180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C5         2675.0000  1110.0000  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C6         2575.0000  1125.0000  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C7         2225.0000  1325.0000  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C8         2325.0000  1150.0000  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C9         2205.0000  1150.0000  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C10        1750.0000  650.0000   270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C11        3315.0000  1360.0000  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C12        3750.0000  1350.0000  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C13        2530.0000  1535.0000  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C14        3305.0000  1405.0000  090        EXACT     (FREE)    L1_TOP SIDE                   
C15        3625.0000  1075.0000  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C16        3425.0000  1050.0000  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C17        3760.0000  1500.0000  000        EXACT     (FREE)    L1_TOP SIDE                   
C18        3890.0000  1500.0000  000        EXACT     (FREE)    L1_TOP SIDE                   
C19        2860.0000  1280.0000  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C20        3190.0000  1425.0000  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C21        2680.0000  1465.0000  090        EXACT     (FREE)    L1_TOP SIDE                   
C22        3290.0000  1290.0000  000        EXACT     (FREE)    L1_TOP SIDE                   
C23        2775.0000  4800.0000  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C24        1300.0000  1100.0000  000        EXACT     (FREE)    L1_TOP SIDE                   
C25        1685.0000  2215.0000  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C26        1300.0000  1300.0000  180        EXACT     (FREE)    L1_TOP SIDE                   
C27        825.0000   2800.0000  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C28        1625.0000  4800.0000  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C29        3725.0000  865.0000   090        EXACT     (FREE)    L1_TOP SIDE                   
C30        3900.0000  1225.0000  000        EXACT     (FREE)    L1_TOP SIDE                   
C31        3725.0000  1010.0000  270        EXACT     (FREE)    L1_TOP SIDE                   
C32        3905.0000  1780.0000  000        EXACT     (FREE)    L1_TOP SIDE                   
C33        3720.0000  1645.0000  090        EXACT     (FREE)    L1_TOP SIDE                   
C34        3905.0000  950.0000   000        EXACT     (FREE)    L1_TOP SIDE                   
C35        3895.0000  445.0000   270        EXACT     (FREE)    L1_TOP SIDE                   
C36        4075.0000  640.0000   000        EXACT     (FREE)    L1_TOP SIDE                   
C37        3900.0000  230.0000   090        EXACT     (FREE)    L1_TOP SIDE                   
C38        4100.0000  360.0000   000        EXACT     (FREE)    L1_TOP SIDE                   
C39        2180.0000  4795.0000  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C40        4100.0000  150.0000   180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C41        3900.0000  270.0000   270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C42        2975.0000  1275.0000  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C43        3145.0000  1285.0000  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C44        4100.0000  440.0000   180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C45        3910.0000  630.0000   090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C46        1000.0000  1200.0000  270        EXACT     (FREE)    L1_TOP SIDE                   
C47        1935.0000  305.0000   090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C48        4200.0000  2765.0000  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C49        4150.0000  4200.0000  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C50        4150.0000  4100.0000  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C51        4495.0000  4220.0000  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C52        4495.0000  4125.0000  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C53        4495.0000  4030.0000  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C54        4825.0000  3300.0000  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C55        4825.0000  3200.0000  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C56        4525.0000  3250.0000  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C57        4425.0000  3250.0000  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C58        4325.0000  3250.0000  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C59        3085.0000  5325.0000  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C60        800.0000   4775.0000  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C61        2725.0000  3750.0000  090        EXACT     (FREE)    L1_TOP SIDE                   
C62        4775.0000  3750.0000  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C63        4775.0000  3650.0000  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C64        4425.0000  3650.0000  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C65        2950.0000  5090.0000  180        EXACT     (FREE)    L1_TOP SIDE                   
C66        4525.0000  3650.0000  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C67        3255.0000  1560.0000  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C68        2710.0000  1475.0000  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C69        2900.0000  1025.0000  270        EXACT     (FREE)    L1_TOP SIDE                   
C70        3325.0000  1125.0000  090        EXACT     (FREE)    L1_TOP SIDE                   
C71        925.0000   4625.0000  180        EXACT     (FREE)    L1_TOP SIDE                   
C72        800.0000   5050.0000  270        EXACT     (FREE)    L1_TOP SIDE                   
C73        800.0000   4625.0000  000        EXACT     (FREE)    L1_TOP SIDE                   
C74        1075.0000  4700.0000  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C75        1450.0000  4630.0000  180        EXACT     (FREE)    L1_TOP SIDE                   
C76        1625.0000  4700.0000  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C77        1325.0000  5075.0000  270        EXACT     (FREE)    L1_TOP SIDE                   
C78        800.0000   4925.0000  090        EXACT     (FREE)    L1_TOP SIDE                   
