Drill Listing
=============
Drill: .01  Tool: 1  Feed: 95  Speed: 300
X 1063830  Y 1046290
X 1066360  Y 1038180
X 1073300  Y 1041150
X 1075500  Y 1055500
X 1079700  Y 1049600
X 1082700  Y 1052000
X 1085300  Y 1052000
X 1094340  Y 1046740
X 1094530  Y 1054970
X 1097070  Y 1046510
X 1104060  Y 1054500
X 1111300  Y 1049500
X 1111630  Y 1052160
X 1115900  Y 1049500
X 1120700  Y 1053700
X 1129100  Y 1051100
X 1133700  Y 1054300
X 1137600  Y 1050300
X 1137700  Y 1054300
X 1141560  Y 1054170
X 1143300  Y 1049030
X 1145600  Y 1054200
X 1147300  Y 1049300
X 1149500  Y 1054300
X 1151490  Y 1036410
X 1152000  Y 1049100
X 1153600  Y 1054300
X 1155400  Y 1049300
X 1157500  Y 1054300
X 1165200  Y 1054200
X 1165237  Y 1050404
X 1169000  Y 1054400
X 1169174  Y 1050404
X 1170700  Y 1040230
X 1171500  Y 1030700
X 1173100  Y 1054400
X 1173111  Y 1050404
X 1177048  Y 1050404
X 1177100  Y 1054263
X 1180985  Y 1050404
X 1181000  Y 1054300
X 1181500  Y 1032500
X 1184922  Y 1050404
X 1185100  Y 1054300
X 1188859  Y 1050404
X 1188900  Y 1054300
X 1192700  Y 1054200
X 1208020  Y 1045990
X 1214250  Y 1043240
X 1216440  Y 1055500
X 1216750  Y 1050800
X 1217700  Y 1034500
X 1218300  Y 1038400
X 1246320  Y 1048350
X 1251930  Y 1055260
X 1265740  Y 1046720
X 1274900  Y 1044379
X 1279500  Y 1039900
X 1279700  Y 1042500
X 1279700  Y 1035800
X 1307450  Y 1051010
X 1331170  Y 1016460
X 1333730  Y 1014130
X 1336280  Y 1016260
X 1338840  Y 1013470
X 1455970  Y 1052280
X 1473700  Y 1040800
X 1477230  Y 1053080
X 1481300  Y 1040500
X 1487980  Y 1045100
X 1528500  Y 1034500
X 1528500  Y 1040000
X 1530500  Y 1024000
X 1530500  Y 1027500
X 1541000  Y 1044500
X 1544000  Y 1041000
X 1545500  Y 1024000
X 1546000  Y 1019000
X 1547000  Y 1041000
X 1549500  Y 1049500
X 1551500  Y 1047500
X 1556500  Y 1036500
X 1556500  Y 1023500
X 1559500  Y 1019000
X 1567700  Y 1044200
X 1576500  Y 1019000
X 1586000  Y 1042000
X 1588200  Y 1044800
X 1589100  Y 1065200
X 1581000  Y 1074500
X 1576900  Y 1066300
X 1571000  Y 1060500
X 1566671  Y 1078508
X 1563500  Y 1066500
X 1548000  Y 1065000
X 1543500  Y 1078000
X 1541000  Y 1064000
X 1540500  Y 1056500
X 1530100  Y 1074330
X 1520500  Y 1078630
X 1510160  Y 1074150
X 1505200  Y 1069400
X 1505200  Y 1066600
X 1503030  Y 1078160
X 1502700  Y 1064500
X 1502700  Y 1061700
X 1485700  Y 1069420
X 1483030  Y 1056500
X 1472790  Y 1076850
X 1455950  Y 1080760
X 1452280  Y 1080700
X 1450410  Y 1069520
X 1449700  Y 1057810
X 1313280  Y 1072030
X 1294450  Y 1057980
X 1285700  Y 1056250
X 1283320  Y 1062050
X 1282770  Y 1077810
X 1280750  Y 1075290
X 1274030  Y 1067950
X 1269220  Y 1058879
X 1267960  Y 1061900
X 1258060  Y 1057760
X 1254890  Y 1070060
X 1250890  Y 1068320
X 1247130  Y 1071120
X 1240610  Y 1069960
X 1240460  Y 1080400
X 1238140  Y 1072300
X 1225680  Y 1071810
X 1221690  Y 1061080
X 1216890  Y 1070010
X 1216890  Y 1074610
X 1216690  Y 1060010
X 1216570  Y 1065030
X 1192900  Y 1062200
X 1192800  Y 1058200
X 1192774  Y 1074063
X 1192774  Y 1078000
X 1192774  Y 1070126
X 1192774  Y 1066189
X 1188900  Y 1062300
X 1188900  Y 1058300
X 1188837  Y 1066189
X 1188837  Y 1074063
X 1188837  Y 1078000
X 1188837  Y 1070126
X 1185100  Y 1058300
X 1184900  Y 1070126
X 1184900  Y 1078000
X 1184900  Y 1066189
X 1184900  Y 1074063
X 1184900  Y 1062300
X 1181100  Y 1058300
X 1180962  Y 1066189
X 1180900  Y 1062300
X 1177200  Y 1078000
X 1177100  Y 1058200
X 1176900  Y 1062200
X 1173300  Y 1074000
X 1173200  Y 1078000
X 1173100  Y 1058300
X 1169300  Y 1070200
X 1169300  Y 1074100
X 1169174  Y 1077963
X 1169000  Y 1058300
X 1165237  Y 1070089
X 1165237  Y 1074026
X 1165200  Y 1078100
X 1165000  Y 1058300
X 1157474  Y 1058400
X 1157400  Y 1078100
X 1157300  Y 1070100
X 1157200  Y 1074100
X 1153600  Y 1058300
X 1153425  Y 1074026
X 1153400  Y 1070000
X 1153400  Y 1078100
X 1149600  Y 1058400
X 1149500  Y 1078100
X 1149500  Y 1062400
X 1149488  Y 1074026
X 1145700  Y 1066200
X 1145600  Y 1058100
X 1145300  Y 1062200
X 1141700  Y 1074200
X 1141600  Y 1058100
X 1141600  Y 1062200
X 1137700  Y 1078200
X 1137700  Y 1066100
X 1137700  Y 1070100
X 1137600  Y 1074100
X 1137600  Y 1062100
X 1129110  Y 1060249
X 1095320  Y 1057960
X 1093640  Y 1069600
X 1073500  Y 1059900
X 1129200  Y 1103500
X 1137600  Y 1085700
X 1137677  Y 1105522
X 1137677  Y 1101585
X 1137677  Y 1093711
X 1137700  Y 1089700
X 1137700  Y 1097574
X 1141614  Y 1101585
X 1141614  Y 1097648
X 1141614  Y 1093711
X 1141614  Y 1105522
X 1145551  Y 1085837
X 1145551  Y 1105522
X 1145551  Y 1101585
X 1149488  Y 1105522
X 1149488  Y 1089774
X 1149488  Y 1085837
X 1153425  Y 1089774
X 1153425  Y 1105522
X 1153425  Y 1085837
X 1153500  Y 1093800
X 1157362  Y 1089774
X 1157362  Y 1105522
X 1157362  Y 1085837
X 1157400  Y 1097800
X 1157500  Y 1093800
X 1165237  Y 1089774
X 1165237  Y 1085837
X 1165237  Y 1105522
X 1165300  Y 1093800
X 1169174  Y 1085837
X 1169174  Y 1089774
X 1169174  Y 1105522
X 1169300  Y 1093800
X 1173111  Y 1085837
X 1173111  Y 1089774
X 1173111  Y 1105522
X 1173200  Y 1093800
X 1176900  Y 1105600
X 1177000  Y 1101600
X 1177048  Y 1085837
X 1177100  Y 1097600
X 1180985  Y 1101600
X 1180985  Y 1105522
X 1180985  Y 1093711
X 1181000  Y 1097600
X 1184922  Y 1093711
X 1184922  Y 1097648
X 1184922  Y 1085837
X 1184922  Y 1105522
X 1184922  Y 1101585
X 1184922  Y 1089774
X 1188859  Y 1105522
X 1188859  Y 1093711
X 1188859  Y 1089774
X 1188859  Y 1097648
X 1188859  Y 1085837
X 1188859  Y 1101585
X 1192796  Y 1101585
X 1192796  Y 1097648
X 1192856  Y 1105522
X 1199040  Y 1093820
X 1200590  Y 1105470
X 1207000  Y 1093750
X 1219790  Y 1099970
X 1237500  Y 1095780
X 1246010  Y 1084120
X 1246291  Y 1092173
X 1257073  Y 1091537
X 1257690  Y 1100390
X 1259000  Y 1094160
X 1259041  Y 1081391
X 1260380  Y 1091770
X 1260800  Y 1096400
X 1262980  Y 1081390
X 1263520  Y 1097970
X 1264947  Y 1091537
X 1266915  Y 1081391
X 1268954  Y 1091537
X 1270852  Y 1081391
