Drill Listing
=============
Drill: .008  Tool: 1  Feed: 0  Speed: 0
X 1143899  Y 1125900
X 1144700  Y 1116100
X 1149228  Y 1119078
X 1153000  Y 1119000
X 1153165  Y 1126952
X 1153165  Y 1123015
X 1153165  Y 1115141
X 1157100  Y 1123000
X 1157102  Y 1126952
X 1161000  Y 1122900
X 1161039  Y 1126952
X 1164976  Y 1123015
X 1168913  Y 1123015
X 1172850  Y 1123015
X 1180724  Y 1115141
X 1180724  Y 1123015
X 1184661  Y 1119078
X 1184661  Y 1123015
X 1185000  Y 1115100
X 1188598  Y 1115141
X 1188598  Y 1123015
X 1192500  Y 1119100
X 1192535  Y 1115141
X 1192535  Y 1123015
X 1196472  Y 1115141
X 1196472  Y 1119078
X 1196472  Y 1123015
X 1196472  Y 1126952
X 1200400  Y 1114900
X 1200409  Y 1123015
X 1200409  Y 1126952
X 1200409  Y 1119078
X 1204300  Y 1126700
X 1204346  Y 1123015
X 1204346  Y 1115141
X 1204346  Y 1119078
X 1208283  Y 1126952
X 1208283  Y 1123015
X 1208283  Y 1115141
X 1208283  Y 1119078
X 1208500  Y 1138500
X 1208300  Y 1150600
X 1208283  Y 1130889
X 1208283  Y 1134826
X 1208283  Y 1142700
X 1204500  Y 1134500
X 1204500  Y 1138500
X 1204346  Y 1142700
X 1204346  Y 1150574
X 1204346  Y 1130889
X 1200500  Y 1139000
X 1200409  Y 1142700
X 1200409  Y 1130889
X 1200409  Y 1134826
X 1200409  Y 1150574
X 1196500  Y 1150900
X 1196472  Y 1134826
X 1196472  Y 1130889
X 1192599  Y 1142800
X 1188598  Y 1142700
X 1188598  Y 1150574
X 1188598  Y 1138763
X 1184661  Y 1150574
X 1184661  Y 1138763
X 1184661  Y 1142700
X 1184661  Y 1134826
X 1180724  Y 1142700
X 1180724  Y 1134826
X 1180724  Y 1138763
X 1180724  Y 1150574
X 1180700  Y 1131200
X 1173228  Y 1150393
X 1173199  Y 1142800
X 1173000  Y 1134500
X 1172850  Y 1130889
X 1172850  Y 1138763
X 1169291  Y 1150393
X 1169000  Y 1139000
X 1168983  Y 1142700
X 1168913  Y 1134826
X 1164976  Y 1150574
X 1164976  Y 1134826
X 1164976  Y 1142700
X 1164976  Y 1138763
X 1161039  Y 1130889
X 1161039  Y 1150575
X 1157102  Y 1134826
X 1153165  Y 1130889
X 1153165  Y 1138763
X 1153165  Y 1150574
X 1153165  Y 1142700
X 1153000  Y 1134500
X 1149228  Y 1150574
X 1145000  Y 1166000
X 1145291  Y 1162386
X 1145291  Y 1158449
X 1145291  Y 1170259
X 1145291  Y 1178133
X 1145500  Y 1174500
X 1149000  Y 1170000
X 1149228  Y 1158449
X 1149228  Y 1162386
X 1149228  Y 1154511
X 1149500  Y 1178000
X 1149500  Y 1174000
X 1153000  Y 1170000
X 1153165  Y 1158448
X 1153165  Y 1162385
X 1153165  Y 1174196
X 1153165  Y 1154511
X 1153500  Y 1178000
X 1156999  Y 1154200
X 1157000  Y 1170000
X 1157102  Y 1178133
X 1157102  Y 1174196
X 1157102  Y 1162385
X 1157102  Y 1166322
X 1161000  Y 1170000
X 1161000  Y 1166000
X 1161039  Y 1174196
X 1164976  Y 1170259
X 1164976  Y 1154511
X 1168897  Y 1177559
X 1168913  Y 1154511
X 1168913  Y 1174196
X 1168913  Y 1170259
X 1168913  Y 1158448
X 1172850  Y 1170259
X 1172850  Y 1158448
X 1172850  Y 1154511
X 1180708  Y 1158661
X 1180724  Y 1154511
X 1180724  Y 1174196
X 1184500  Y 1174500
X 1184661  Y 1154511
X 1184661  Y 1178133
X 1184661  Y 1170259
X 1184661  Y 1158448
X 1188500  Y 1174500
X 1188500  Y 1162500
X 1188598  Y 1154581
X 1188598  Y 1170259
X 1192500  Y 1174500
X 1192535  Y 1178133
X 1192535  Y 1170259
X 1196472  Y 1178133
X 1196500  Y 1170500
X 1196500  Y 1166000
X 1196500  Y 1162000
X 1196500  Y 1174500
X 1200409  Y 1174196
X 1200409  Y 1154511
X 1200409  Y 1178133
X 1200500  Y 1162000
X 1200500  Y 1170000
X 1200500  Y 1166000
X 1200500  Y 1158000
X 1204346  Y 1162385
X 1204346  Y 1166322
X 1204346  Y 1158448
X 1204346  Y 1154511
X 1204346  Y 1174196
X 1204500  Y 1170500
X 1208283  Y 1162386
X 1208283  Y 1158448
X 1208283  Y 1154511
X 1208500  Y 1170500
X 1208000  Y 1178500
X 1188300  Y 1178500
X 1180500  Y 1178500
Drill: .01  Tool: 2  Feed: 95  Speed: 300
X 1111300  Y 1113000
X 1524900  Y 1245500
X 1525000  Y 1233000
X 1525000  Y 1251800
X 1525200  Y 1240800
X 1542200  Y 1256800
X 1537800  Y 1254800
X 1522400  Y 1260600
X 1517500  Y 1397400
X 1515748  Y 1325590
X 1514600  Y 1399900
X 1513385  Y 1327952
X 1460200  Y 1409800
X 1463700  Y 1409700
X 1490800  Y 1418800
X 1495400  Y 1432000
X 1510700  Y 1446200
X 1519000  Y 1431500
Drill: .012  Tool: 3  Feed: 95  Speed: 300
X 1043500  Y 1020000
X 1058900  Y 1026400
X 1059599  Y 1021900
X 1060000  Y 1003500
X 1060899  Y 1018300
X 1070000  Y 1003500
X 1080000  Y 1003500
X 1090000  Y 1003500
X 1100000  Y 1003500
X 1110000  Y 1003500
X 1120000  Y 1003500
X 1130000  Y 1003500
X 1140000  Y 1003500
X 1150000  Y 1003500
X 1160000  Y 1003500
X 1170000  Y 1003500
X 1180000  Y 1003500
X 1190000  Y 1003500
X 1200000  Y 1003500
X 1210000  Y 1003500
X 1220000  Y 1003500
X 1230000  Y 1003500
X 1240000  Y 1003500
X 1250000  Y 1003500
X 1252000  Y 1023000
X 1260000  Y 1003500
X 1270000  Y 1003500
X 1272500  Y 1023000
X 1280000  Y 1003500
X 1287000  Y 1023000
X 1290000  Y 1003500
X 1297500  Y 1023000
X 1300000  Y 1003500
X 1310000  Y 1003500
X 1318000  Y 1023000
X 1320000  Y 1003500
X 1330000  Y 1003500
X 1332000  Y 1023000
X 1340000  Y 1003500
X 1350000  Y 1003500
X 1360000  Y 1003500
X 1370000  Y 1003500
X 1380000  Y 1003500
X 1390000  Y 1003500
X 1400000  Y 1003500
X 1410000  Y 1003500
X 1420000  Y 1003500
X 1427900  Y 1027300
X 1430000  Y 1003500
X 1440000  Y 1003500
X 1441200  Y 1028300
X 1450000  Y 1003500
X 1460000  Y 1003500
X 1470000  Y 1003500
X 1480000  Y 1003500
X 1490000  Y 1003500
X 1500000  Y 1003500
X 1510000  Y 1003500
X 1520000  Y 1003500
X 1530000  Y 1003500
X 1540000  Y 1003500
X 1550000  Y 1003500
X 1560000  Y 1003500
X 1570000  Y 1003500
X 1580000  Y 1003500
X 1590000  Y 1003500
X 1584500  Y 1033000
X 1527500  Y 1044000
X 1491500  Y 1037500
X 1487500  Y 1037500
X 1483500  Y 1037500
X 1479500  Y 1037500
X 1476000  Y 1037500
X 1467000  Y 1053200
X 1465800  Y 1050000
X 1465500  Y 1044000
X 1462000  Y 1028500
X 1456100  Y 1038500
X 1438200  Y 1032000
X 1417700  Y 1034100
X 1374000  Y 1040000
X 1369000  Y 1049500
X 1369000  Y 1044500
X 1332000  Y 1048000
X 1332000  Y 1029500
X 1332000  Y 1035500
X 1331500  Y 1042000
X 1318500  Y 1042000
X 1318000  Y 1036000
X 1318000  Y 1052000
X 1317500  Y 1048000
X 1311500  Y 1046000
X 1311000  Y 1042000
X 1311000  Y 1029500
X 1311000  Y 1035500
X 1297500  Y 1042000
X 1297500  Y 1048000
X 1297500  Y 1029500
X 1297500  Y 1035500
X 1287000  Y 1042000
X 1287000  Y 1048000
X 1287000  Y 1035500
X 1287000  Y 1029500
X 1273500  Y 1042000
X 1273500  Y 1035500
X 1273000  Y 1048000
X 1272500  Y 1052500
X 1266000  Y 1042000
X 1266000  Y 1036000
X 1266000  Y 1029500
X 1252000  Y 1042000
X 1252000  Y 1048000
X 1252000  Y 1029500
X 1252000  Y 1035500
X 1241500  Y 1044000
X 1241500  Y 1050500
X 1228500  Y 1044000
X 1220000  Y 1052500
X 1206500  Y 1044000
X 1206500  Y 1050500
X 1194000  Y 1050500
X 1194000  Y 1044500
X 1179500  Y 1052500
X 1176300  Y 1044800
X 1172500  Y 1052500
X 1171600  Y 1046800
X 1158500  Y 1050500
X 1158000  Y 1045500
X 1156600  Y 1036400
X 1156000  Y 1048000
X 1140400  Y 1041000
X 1140000  Y 1047500
X 1138500  Y 1052000
X 1134000  Y 1045000
X 1130000  Y 1041500
X 1126000  Y 1045000
X 1117000  Y 1044500
X 1109000  Y 1044500
X 1101200  Y 1050500
X 1080999  Y 1046800
X 1067100  Y 1047200
X 1065800  Y 1050200
X 1064500  Y 1053300
X 1058000  Y 1029600
X 1055899  Y 1038100
X 1055600  Y 1042300
X 1055099  Y 1032200
X 1052755  Y 1048818
X 1051300  Y 1052200
X 1041500  Y 1030000
X 1039000  Y 1040000
X 1037000  Y 1050000
X 1034000  Y 1070000
X 1035500  Y 1060000
X 1050400  Y 1071600
X 1050500  Y 1068000
X 1050700  Y 1075200
X 1051200  Y 1060400
X 1051600  Y 1056600
X 1057000  Y 1068900
X 1057700  Y 1063500
X 1065900  Y 1058800
X 1067100  Y 1055400
X 1071599  Y 1067000
X 1078200  Y 1058900
X 1078700  Y 1055800
X 1087500  Y 1053500
X 1089500  Y 1059100
X 1090999  Y 1078200
X 1095499  Y 1070100
X 1100000  Y 1070100
X 1106000  Y 1073300
X 1106200  Y 1059400
X 1110629  Y 1059055
X 1112500  Y 1066600
X 1113500  Y 1071000
X 1113779  Y 1059448
X 1115800  Y 1068200
X 1117322  Y 1073228
X 1118500  Y 1059000
X 1121500  Y 1053500
X 1125100  Y 1059000
X 1127400  Y 1077600
X 1127900  Y 1070200
X 1128000  Y 1064500
X 1130000  Y 1060000
X 1135500  Y 1060000
X 1135800  Y 1068500
X 1136000  Y 1075000
X 1138500  Y 1055000
X 1138700  Y 1072400
X 1139000  Y 1064500
X 1140900  Y 1077600
X 1144000  Y 1059000
X 1148500  Y 1061000
X 1152500  Y 1058500
X 1152500  Y 1068000
X 1153500  Y 1075500
X 1155600  Y 1057600
X 1156500  Y 1054000
X 1156700  Y 1060700
X 1158000  Y 1063500
X 1158000  Y 1076500
X 1158500  Y 1070000
X 1172000  Y 1070000
X 1172000  Y 1057500
X 1172000  Y 1063500
X 1173000  Y 1076500
X 1179000  Y 1070000
X 1179500  Y 1057500
X 1179500  Y 1063500
X 1179500  Y 1077500
X 1194000  Y 1057000
X 1194000  Y 1070000
X 1194000  Y 1063500
X 1194000  Y 1076500
X 1206500  Y 1057000
X 1206500  Y 1063500
X 1206500  Y 1076500
X 1207000  Y 1070000
X 1220000  Y 1057000
X 1220500  Y 1063500
X 1220600  Y 1072400
X 1228000  Y 1062500
X 1228000  Y 1070000
X 1228000  Y 1077500
X 1228500  Y 1057000
X 1241500  Y 1063500
X 1242000  Y 1070000
X 1242000  Y 1057000
X 1242000  Y 1076500
X 1252000  Y 1060500
X 1252000  Y 1073500
X 1252000  Y 1067000
X 1252000  Y 1054000
X 1266000  Y 1067000
X 1266000  Y 1054000
X 1266500  Y 1061000
X 1271000  Y 1057000
X 1273000  Y 1060500
X 1273000  Y 1067000
X 1286500  Y 1060500
X 1287000  Y 1054000
X 1287000  Y 1067000
X 1297000  Y 1067000
X 1297000  Y 1073500
X 1297000  Y 1060500
X 1297000  Y 1054000
X 1311000  Y 1054000
X 1311000  Y 1067000
X 1311500  Y 1063000
X 1318000  Y 1067000
X 1318500  Y 1060500
X 1332000  Y 1060500
X 1332000  Y 1067000
X 1332500  Y 1054000
X 1369000  Y 1054500
X 1405500  Y 1054500
X 1448400  Y 1055200
X 1456300  Y 1057200
X 1456500  Y 1066100
X 1484000  Y 1070500
X 1488000  Y 1070500
X 1491500  Y 1070500
X 1578900  Y 1061900
X 1579500  Y 1079000
X 1574500  Y 1079000
X 1570500  Y 1079000
X 1558500  Y 1097000
X 1551500  Y 1085500
X 1551000  Y 1078500
X 1544000  Y 1095000
X 1539500  Y 1097500
X 1479900  Y 1086100
X 1464700  Y 1093600
X 1458500  Y 1094200
X 1437000  Y 1084000
X 1437000  Y 1102000
X 1421500  Y 1093000
X 1400000  Y 1087500
X 1398500  Y 1102000
X 1382500  Y 1093000
X 1360000  Y 1084000
X 1360000  Y 1102000
X 1343500  Y 1093000
X 1322500  Y 1086000
X 1321600  Y 1102100
X 1306000  Y 1093000
X 1304000  Y 1102500
X 1283000  Y 1084000
X 1283000  Y 1102000
X 1267500  Y 1093000
X 1242000  Y 1082500
X 1242000  Y 1088500
X 1227500  Y 1088500
X 1220866  Y 1078740
X 1220472  Y 1083464
X 1220400  Y 1094400
X 1211000  Y 1100900
X 1207000  Y 1085500
X 1207000  Y 1095000
X 1206500  Y 1082500
X 1195600  Y 1101400
X 1194000  Y 1088500
X 1194000  Y 1082500
X 1180000  Y 1088500
X 1172100  Y 1082500
X 1172000  Y 1095000
X 1158500  Y 1102000
X 1158500  Y 1095500
X 1158500  Y 1083000
X 1158000  Y 1088000
X 1150700  Y 1080100
X 1143900  Y 1102000
X 1137400  Y 1086800
X 1132700  Y 1082400
X 1129527  Y 1084645
X 1123200  Y 1090600
X 1117400  Y 1079900
X 1110000  Y 1096500
X 1082000  Y 1099000
X 1069000  Y 1081500
X 1069000  Y 1084500
X 1069000  Y 1088000
X 1069000  Y 1094000
X 1069000  Y 1097500
X 1069000  Y 1100500
X 1068500  Y 1091000
X 1049900  Y 1084400
X 1049700  Y 1078800
X 1048500  Y 1089200
X 1047200  Y 1100600
X 1047100  Y 1097100
X 1032000  Y 1080000
X 1030500  Y 1090000
X 1029000  Y 1100000
X 1025500  Y 1120000
X 1027000  Y 1110000
X 1040100  Y 1123300
X 1042100  Y 1111800
X 1042300  Y 1107500
X 1042300  Y 1115200
X 1043299  Y 1125100
X 1046100  Y 1122900
X 1052599  Y 1127900
X 1052899  Y 1123300
X 1058500  Y 1112000
X 1069000  Y 1103500
X 1090500  Y 1120500
X 1091000  Y 1124000
X 1091500  Y 1127500
X 1126000  Y 1116600
X 1196100  Y 1111200
X 1218000  Y 1110400
X 1220700  Y 1117000
X 1235500  Y 1126800
X 1239500  Y 1110500
X 1248500  Y 1111500
X 1248500  Y 1122900
X 1262500  Y 1123000
X 1262700  Y 1112800
X 1266000  Y 1119800
X 1268600  Y 1112900
X 1271600  Y 1112900
X 1279600  Y 1109000
X 1282000  Y 1126000
X 1287000  Y 1122300
X 1287500  Y 1110500
X 1287500  Y 1126500
X 1300700  Y 1112900
X 1301000  Y 1123000
X 1304500  Y 1119000
X 1306300  Y 1111700
X 1310000  Y 1112300
X 1317500  Y 1110500
X 1320500  Y 1126000
X 1325500  Y 1123000
X 1325500  Y 1110500
X 1330000  Y 1104000
X 1339500  Y 1123000
X 1339763  Y 1112992
X 1343000  Y 1119500
X 1345600  Y 1111300
X 1350000  Y 1113000
X 1356000  Y 1110500
X 1359800  Y 1126000
X 1364100  Y 1122600
X 1364500  Y 1110500
X 1377900  Y 1112800
X 1378000  Y 1123000
X 1381200  Y 1119800
X 1383900  Y 1112000
X 1387000  Y 1112700
X 1395200  Y 1110500
X 1397500  Y 1126000
X 1402500  Y 1123000
X 1403000  Y 1110500
X 1416500  Y 1123000
X 1417000  Y 1112600
X 1419500  Y 1119500
X 1421400  Y 1111500
X 1427200  Y 1111800
X 1434000  Y 1109500
X 1436500  Y 1126000
X 1476600  Y 1119800
X 1483700  Y 1109500
X 1525500  Y 1105500
X 1525500  Y 1111000
X 1540500  Y 1108000
X 1544500  Y 1111500
X 1544500  Y 1108000
X 1565700  Y 1123700
X 1575500  Y 1126500
X 1571500  Y 1130000
X 1569000  Y 1150500
X 1485000  Y 1145000
X 1475400  Y 1151300
X 1471500  Y 1151000
X 1466500  Y 1151000
X 1461500  Y 1151500
X 1456500  Y 1147000
X 1437700  Y 1146800
X 1436000  Y 1132500
X 1436000  Y 1135500
X 1423000  Y 1132500
X 1422000  Y 1136500
X 1422000  Y 1148500
X 1417400  Y 1142000
X 1416600  Y 1135600
X 1416500  Y 1129500
X 1416000  Y 1148000
X 1402700  Y 1129500
X 1400900  Y 1141800
X 1400800  Y 1135100
X 1399400  Y 1139100
X 1399000  Y 1147200
X 1398000  Y 1132500
X 1397900  Y 1152900
X 1384500  Y 1132500
X 1383500  Y 1136500
X 1383500  Y 1148500
X 1378100  Y 1142200
X 1378000  Y 1129800
X 1377800  Y 1136000
X 1377500  Y 1148000
X 1364000  Y 1129500
X 1364000  Y 1148000
X 1364000  Y 1134500
X 1363500  Y 1142000
X 1360800  Y 1139600
X 1360500  Y 1147000
X 1359400  Y 1132600
X 1346000  Y 1132500
X 1345000  Y 1136500
X 1345000  Y 1148500
X 1339800  Y 1142000
X 1339500  Y 1129500
X 1339300  Y 1136000
X 1339000  Y 1148000
X 1326000  Y 1129500
X 1325500  Y 1134500
X 1325500  Y 1149000
X 1325000  Y 1142000
X 1322000  Y 1147000
X 1322000  Y 1141300
X 1320500  Y 1132500
X 1307500  Y 1132500
X 1306500  Y 1148500
X 1306500  Y 1136500
X 1301300  Y 1142000
X 1301000  Y 1129500
X 1300800  Y 1136000
X 1300500  Y 1148000
X 1286500  Y 1142000
X 1286500  Y 1136500
X 1285500  Y 1151000
X 1284000  Y 1147500
X 1283600  Y 1139600
X 1282000  Y 1132500
X 1269000  Y 1132500
X 1268000  Y 1148500
X 1268000  Y 1136500
X 1263200  Y 1142100
X 1262800  Y 1147900
X 1262700  Y 1136200
X 1262500  Y 1129500
X 1249000  Y 1129500
X 1248500  Y 1137900
X 1248500  Y 1133700
X 1247800  Y 1146000
X 1245700  Y 1142300
X 1244300  Y 1129000
X 1243200  Y 1138000
X 1242300  Y 1147000
X 1239000  Y 1129500
X 1235000  Y 1136100
X 1232500  Y 1147400
X 1225900  Y 1147600
X 1221700  Y 1132700
X 1221500  Y 1145000
X 1218100  Y 1132900
X 1214000  Y 1143500
X 1126100  Y 1128800
X 1126100  Y 1137100
X 1126000  Y 1144000
X 1111600  Y 1147500
X 1111417  Y 1141338
X 1110500  Y 1133000
X 1099000  Y 1145000
X 1094500  Y 1131000
X 1094000  Y 1150000
X 1094000  Y 1153000
X 1093500  Y 1144000
X 1090500  Y 1133000
X 1079000  Y 1152500
X 1079000  Y 1145500
X 1071500  Y 1145000
X 1071500  Y 1148000
X 1065000  Y 1148500
X 1065000  Y 1142500
X 1057500  Y 1140500
X 1055000  Y 1145500
X 1054000  Y 1149000
X 1051000  Y 1149000
X 1039700  Y 1133500
X 1039400  Y 1130000
X 1037007  Y 1148818
X 1035826  Y 1145669
X 1035800  Y 1142300
X 1035300  Y 1152500
X 1024000  Y 1130000
X 1022500  Y 1140000
X 1021000  Y 1150000
X 1018000  Y 1170000
X 1019500  Y 1160000
X 1030500  Y 1178000
X 1034400  Y 1162900
X 1034400  Y 1174800
X 1034400  Y 1170500
X 1034645  Y 1166929
X 1036500  Y 1158000
X 1046100  Y 1171100
X 1047400  Y 1168100
X 1048700  Y 1174200
X 1049500  Y 1177500
X 1056000  Y 1172000
X 1056500  Y 1169000
X 1061500  Y 1155500
X 1061500  Y 1169000
X 1068500  Y 1174000
X 1078500  Y 1156000
X 1081500  Y 1165000
X 1083500  Y 1157000
X 1083500  Y 1172500
X 1087500  Y 1164500
X 1093000  Y 1169500
X 1104500  Y 1156500
X 1105500  Y 1174000
X 1106000  Y 1161500
X 1110000  Y 1174000
X 1126200  Y 1173100
X 1133900  Y 1163500
X 1217500  Y 1156000
X 1223000  Y 1170000
X 1234500  Y 1172500
X 1234500  Y 1156000
X 1242500  Y 1165500
X 1242800  Y 1178200
X 1243100  Y 1158700
X 1243500  Y 1154900
X 1245000  Y 1171000
X 1259600  Y 1171000
X 1262700  Y 1162100
X 1263400  Y 1155100
X 1267500  Y 1177800
X 1269000  Y 1156500
X 1286500  Y 1154500
X 1297500  Y 1175000
X 1301000  Y 1162000
X 1302000  Y 1155000
X 1307500  Y 1156500
X 1310500  Y 1166000
X 1319500  Y 1165500
X 1322500  Y 1159000
X 1325000  Y 1155000
X 1339500  Y 1162000
X 1340000  Y 1175000
X 1340500  Y 1155000
X 1346000  Y 1156500
X 1353000  Y 1166000
X 1363500  Y 1155000
X 1378000  Y 1162500
X 1379000  Y 1155000
X 1384500  Y 1165500
X 1384500  Y 1156500
X 1385000  Y 1175000
X 1397900  Y 1160800
X 1400500  Y 1157000
X 1401200  Y 1163800
X 1403400  Y 1166600
X 1417500  Y 1155000
X 1425000  Y 1175000
X 1430900  Y 1161300
X 1440100  Y 1166000
X 1460300  Y 1176500
X 1465000  Y 1175000
X 1471500  Y 1157000
X 1483000  Y 1172700
X 1489000  Y 1174800
X 1493700  Y 1174409
X 1494199  Y 1168000
X 1499499  Y 1167600
X 1502999  Y 1167700
X 1506599  Y 1167800
X 1513599  Y 1168200
X 1517199  Y 1167700
X 1535000  Y 1161000
X 1537500  Y 1177000
X 1544000  Y 1171500
X 1562000  Y 1174000
X 1569000  Y 1154000
X 1577000  Y 1160500
X 1582000  Y 1176500
X 1590000  Y 1175500
X 1586000  Y 1178500
X 1563000  Y 1190000
X 1541299  Y 1192000
