       PADS LIBRARY (CAP Part Types) DIRECTORY LISTING


Library: CAP
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|Part Name                                |CCC P/N |PCB Decal          |VALUE   |DESCRIPTION                             |MFG #1          |MFG #1 P/N         |PACKAGE        |ESR    |POLARITY |TOLERANCE |VOLTAGE |ROHS 
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|CAP-0.001UF-2000V-1206-10%-1206GC102KAT# |        |C1206              |0.001UF |CAP,CER,1000PF,2000V,10%,X7R,1206       |AVX             |1206GC102KAT1A     |1206           |-      |NO       |10%       |2000V   |YES  
|CAP-0.015UF-16V-0402-10%-C0402C153K4RAC# |        |C0402              |0.015UF |CAP,CER,15000PF,16V,10%,X7R,0402        |KEMET           |C0402C153K4RACTU   |0402           |-      |NO       |10%       |16V     |YES  
|CAP-0.015UF-50V-0603-10%-06035C153KAT2A  |        |C0603              |0.015UF |CAP,CER,15000PF,50V,10%,X7R,0603        |AVX             |06035C153KAT2A     |0603           |-      |NO       |10%       |50V     |YES  
|CAP-0.01UF-100V-0603-5%-06031C103JAT2A   |        |C0603              |0.01UF  |CAP,CER,10000PF,100V,5%,X7R,0603        |AVX             |06031C103JAT2A     |0603           |-      |NO       |5%        |100V    |YES  
|CAP-0.01UF-16V-0402-10%-0402YC103KAT2A   |        |C0402              |0.01UF  |CAP,CER,10000PF,16V,10%,X7R,0402        |AVX             |0402YC103KAT2A     |0402           |-      |NO       |10%       |16V     |YES  
|CAP-0.01UF-50V-0402-10%-04025C103KAT2A   |        |C0402              |0.01UF  |CAP,CER,10000PF,50V,10%,X7R,0402        |AVX             |04025C103KAT2A     |0402           |-      |NO       |10%       |50V     |YES  
|CAP-0.01UF-50V-0603-10%-06035C103KAT2A   |        |C0603              |0.01UF  |CAP,CER,10000PF,50V,10%,X7R,0603        |AVX             |06035C103KAT2A     |0603           |-      |NO       |10%       |50V     |YES  
|CAP-0.01UF-50V-0805-10%-08055C103KAT2A   |        |C0805              |10000PF |CAP,CER,10000PF,50V,10%,X7R,0805        |AVX             |08055C103KAT2A     |0805           |-      |NO       |10%       |50V     |YES  
|CAP-0.01UF-50V-0805-5%-08055C103JAT2A    |        |C0805              |0.01UF  |CAP,CER,0.01UF,50V,5%,X7R,0805          |AVX             |08055C103JAT2A     |0805           |-      |NO       |5%        |50V     |YES  
|CAP-0.01UF-50V-1206-10%-12065C103KAT2A   |        |C1206              |0.01UF  |CAP,CER,0.01UF,50V,10%,X7R,1206         |AVX             |12065C103KAT2A     |1206           |-      |NO       |10%       |50V     |YES  
|CAP-0.022UF-100V-0603-10%-C0603C223K1#   |        |C0603              |0.022UF |CAP,CER,0.022UF,100V,10%,X7R,0603       |KEMET           |C0603C223K1RACTU   |0603           |-      |NO       |10%       |100V    |YES  
|CAP-0.033UF-50V-0603-5%-06035C333JAT2A   |        |C0603              |0.033UF |CAP,CER,33000PF,50V,5%,X7R,0603         |AVX             |06035C333JAT2A     |0603           |-      |NO       |5%        |50V     |YES  
|CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A    |        |C0402              |0.1UF   |CAP,CER,0.1UF,10V,10%,X5R,0402          |AVX             |0402ZD104KAT2A     |0402           |-      |NO       |10%       |10V     |YES  
|CAP-0.1UF-250V-7.3LX4.5WX9.5H-10%-B3252# |        |B32529C3104K       |0.1UF   |CAP,FILM,0.1UF,250V,10%,7.3Lx4.5Wx9.5H  |EPCOS INC       |B32529C3104K       |7.3Lx4.5Wx9.5H |-      |NO       |10%       |250V    |YES  
|CAP-0.1UF-50V-0402-20%-C1005X7R1H104M    |        |C0402              |0.1UF   |CAP,CER,0.1UF,50V,20%,X7R,0402          |TDK             |C1005X7R1H104M     |0402           |-      |NO       |20%       |50V     |YES  
|CAP-0.1UF-50V-0603-10%-06035C104KAT2A    |        |C0603              |0.1UF   |CAP,CER,0.1UF,50V,10%,X7R,0603          |AVX             |06035C104KAT2A     |0603           |-      |NO       |10%       |50V     |YES  
