       PADS LIBRARY (CONNECTORS Part Types) DIRECTORY LISTING


Library: CONNECTORS
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|Part Name                                |CCC P/N |VALUE                                |MFG #1                       |MFG #1 P/N         |PCB Decal                 |DESCRIPTION                                |ROHS |PACKAGE     |CONTACT TYPE               |PITCH  |Logic Decal              |NO OF POSITIONS 
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|CON-FREE_HANG-14-20020620-M141A01LF      |        |PLUGGABLE                            |FCI                          |20020620-M141A01LF |CON19_0                   |TERM. BLOCKS, PLUGGABLE,14,7.62MM          |YES  |FREE HANG   |SOCKET                     |7.62mm |CON_20020620-M141A01LF   |14              
|CON-FRONT_MOUNT-12X1-SAL-12D-FKW4        |        |ETHERNET                             |CONEC                        |SAL-12D-FKW4       |43K1542, CON_SAL-12D-FKW4 |CONNECTOR,ETHERNET,12 x 1                  |YES  |FRONT MOUNT |Male                       |-      |CON_SAL-12D-FKW4         |12x1            
|CON-SM-2X5-15916102                      |        |HEADER                               |MOLEX                        |15916102           |BERG5PX2R_254             |HEADER,2 x 5,2.54mm,SM,GOLD                |YES  |SM          |Male                       |2.54mm |CON_15916102             |2x5             
|CON-SMT-204-2013310-1                    |        |DDR3 SDRAM                           |TE CONNECTIVITY              |2013310-1          |SODIMM_MB-0213-1E_MM80    |CONNECTOR,DDR3 SDRAM,204,SMT               |YES  |SMT         |-                          |-      |CON_2013310-1            |204             
|CON-SMT-2X19-5767054-1                   |        |CONNECTOR                            |TE CONNECTIVITY              |5767054-1          |CON_38P_25_TE             |RECEPTACLE,2 x 19,0.64mm,SMT               |YES  |SMT         |Receptacle                 |0.64mm |CON_5767054-1            |2x19            
|CON-SMT-2X40-QSE-040-01-L-D-A            |        |Receptacle                           |SAMTEC                       |QSE-040-01-L-D-A   |QTE-040-02-X-D-A          |RECEPTACLE,2 x 40,0.80mm,SMT               |YES  |SMT         |Female                     |0.80mm |CON-QSE-040-01-L-D-A     |2x40            
|CON-SMT-2X40-QTE-040-02-L-D-A            |        |HEADER                               |SAMTEC                       |QTE-040-02-L-D-A   |QTE-040-02-X-D-A          |HEADER,2 x 40,0.80mm,SMT                   |YES  |SMT         |Male                       |0.80mm |CON_QTE-040-02-L-D-A     |2x40            
|CON-SMT_RA-8-ST1W008S4AR1500             |        |MICRO SD                             |JAE ELECTRONICS              |ST1W008S4AR1500    |SDCARD_16P3X13P6          |CONNECTOR,MICRO SD,8,SMT,RA                |YES  |SMT,RA      |-                          |-      |CON_ST1W008S4AR1500      |8               
|CON-TH-1X12-20020107-H121A01LF           |        |Header, Male Pins, Shrouded (4 Side) |FCI                          |20020107-H121A01LF |20020107-H121A01LF        |HEADER,1 x 12,5.08mm,TH                    |YES  |TH          |Male                       |5.08mm |CON_20020107-H121A01LF   |1x12            
