       PADS LIBRARY (diodes Part Types) DIRECTORY LISTING


Library: diodes
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|CCC P/N       |DESCRIPTION                          |MFG #1                  |MFG #1 P/N      |PACKAGE          |PCB Decal         |VALUE           |Part Name                         |Current - Average Rectified (Io) |Current-AverageRectified(Io) |Reverse Recovery Time (trr) |ReverseRecoveryTime(trr) |VOLTAGE  BREAKDOWN |VOLTAGEBREAKDOWN |Voltage - DC Reverse (Vr) (Max |Voltage - Forward (Vf) (Max) @ If |Voltage-DCReverse(Vr)(Max |Voltage-DCReverse(Vr)(Max) |Voltage-Forward(Vf)(Max)@If |POWER |ROHS 
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|              |DIODES,GP,SI RECTIFIER,SMA,1A,400V   |RECTRON                 |FM4004          |DIO_DO-214AC     |DIO_DO-214AC      |FM4004          |DIO-DIO_DO-214AC-FM4004           |1A                               |                             |NA                          |                         |NA                 |                 |400V                           |NA                                |                          |                           |                            |NA    |     
|              |DIODE,SCHOTTKY,60V,3A,DO-214AB       |VISHAY                  |SS36-E3/57T     |DO-214AB         |SMC               |SS36-E3/57T     |DIO-DO-214AB-SS36-E3/57T          |3A                               |                             |                            |                         |                   |                 |60V                            |750mV @ 3A                        |                          |                           |                            |      |YES  
|              |DIODE,SCHOTTKY,40V,2A,DO-214AC       |DIODE/ ZETEX            |B240A-13-F      |DO-214AC         |DIO_B240A13F      |B240A-13-F      |DIO-DO-214AC-B240A-13-F           |2A                               |                             |                            |                         |                   |                 |40V                            |500mV @ 2A                        |                          |                           |                            |      |YES  
|              |DIODE,SCHOTTKY,40V,3A,DO-214AC       |DIODE/ ZETEX            |B340A-13-F      |DO-214AC         |SMA               |B340A-13-F      |DIO-DO-214AC-B340A-13-F           |3A                               |                             |                            |                         |                   |                 |40V                            |500mV @ 3A                        |                          |                           |                            |      |YES  
|              |TVS,DIODE,BI-DIRECT,24V,400W,SMA     |DIODE/ZETEX             |SMAJ24CA-13-F   |DO-214AC         |SMA               |SMAJ24CA-13-F   |DIO-DO-214AC-SMAJ24CA-13-F        |                                 |                             |                            |                         |                   |26.7V            |                               |                                  |24V                       |                           |                            |400W  |YES  
|              |TVS,DIODE,BI-DIRECT,36V,400W,SMA     |VISHAY                  |SMAJ36CA        |DO-214AC         |SMA               |SMAJ36CA        |DIO-DO-214AC-SMAJ36CA             |                                 |                             |                            |                         |                   |40V              |                               |                                  |36V                       |                           |                            |400W  |YES  
|33-000851-400 |TVS,DIODE,BI-DIRECT,400V,400W,SMA    |LITTELFUSEINC           |SMAJ400CA       |DO-214AC         |SMB               |SMAJ400CA       |DIO-DO-214AC-SMAJ400CA            |                                 |                             |                            |                         |                   |447V             |                               |                                  |400V                      |                           |                            |400W  |YES  
|              |DIODE,SCHOTTKY,30V,5A,PMDS           |ROHM SEMICONDUCTOR      |RB080L-30TE25   |PMDS             |SMA               |RB080L-30TE25   |DIO-PMDS-RB080L-30TE25            |5A                               |                             |                            |                         |                   |                 |30V                            |510mV @ 5A                        |                          |                           |                            |      |YES  
|              |DIODE,SCHOTTKY,60V,1A,POWERDI123     |DIODE/ ZETEX            |DFLS160-7       |POWERDI123       |DFLS160           |DFLS160-7       |DIO-POWERDI123-DFLS160-7          |1A                               |                             |                            |                         |                   |                 |60V                            |500mV @ 1A                        |                          |                           |                            |      |YES  
