       PADS LIBRARY (led Part Types) DIRECTORY LISTING


Library: led
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|CCC P/N |CURRENT |DESCRIPTION                                                |LENS STYLE               |MFG #1      |MFG #1 P/N        |MILLICANDELA RATING    |PACKAGE                   |PCB Decal         |Part Name                           |VALUE      |VOLTAGE RATING       
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|        |10mA    |LED,BLUE,FLAT TOP, 2.4MM ,11.15MCD @10MA                   |Flat Top, 2.4mm          |DIALIGHT    |597-3601-207F     |11.15mcd               |2-PLCC                    |LED_3MM_BLUE      |LED-BLUE-2-PLCC-597-3601-207F       |BLUE       |3.5                  
|        |10mA    |LED,BLUE,FLAT TOP, 1.7MM X 0.7MM ,31.5MCD @10MA            |Flat Top, 1.7mm x 0.7mm  |OSRAM       |LB Y87S-M1N2-35-Z |31.5mcd                |2-SMD, Flat Lead          |LB_Y878_LED       |LED-BLUE-2-SMD-LB_Y87S-M1N2-35-Z    |BLUE       |3.4V                 
|        |20mA    |LED,DUAL GREEN,T- 2MM,100MCD@20MA                          |T- 2mm                   |LUMEX       |SSF-LXH512SUGD    |100mcd                 |Through Hole, Right Angle |LED_1P8MM_D       |LED-DUAL_GREEN-TH_RA-SSF-LXH512SUGD |DUAL GREEN |2.2V                 
|        |2mA     |LED,GREEN,FLAT TOP, 1.3MM X 0.8MM ,3.92MCD @2MA            |Flat Top, 1.3mm x 0.8mm  |OSRAM       |LG L29K-G2J1-24-Z |3.92mcd                |0603                      |LED_0603          |LED-GREEN-0603-LG_L29K-G2J1-24-Z    |GREEN      |1.7V                 
|        |20mA    |LED,GREEN,FLAT TOP, 1.4MM X 1.25MM ,35MCD @20MA            |Flat Top, 1.4mm x 1.25mm |LITE-ON INC |LTST-C170KGKT     |35mcd                  |0805                      |LED_0805          |LED-GREEN-0805-LTST-C170KGKT        |GREEN      |2V                   
|        |10mA    |LED,GREEN,DOMED TOP, 3MM ,16MCD @10MA                      |Domed Top, 3mm           |DIALIGHT    |551-0209F         |16mcd                  |Through Hole, Right Angle |LED_3MM_SINGLE    |LED-GREEN-TH_RA-551-0209F           |GREEN      |2.1V                 
|        |20mA    |LED,GREEN/RED,FLAT TOP, 3MM ,4MCD@20MA                     |Flat Top, 3mm            |DIALIGHT    |551-3508F         |4mcd                   |Through Hole, Right Angle |LED_3MM_BI        |LED-GREEN/RED-TH_RA-551-3508F       |GREEN/RED  |2.1V Green, 2V Red   
|        |20mA    |LED,GREEN/RED,DOMED TOP, 2MM ,10MCD GREEN, 15MCD RED @20MA |Domed Top, 2mm           |DIALIGHT    |570-0100-122F     |10mcd Green, 15mcd Red |Through Hole, Right Angle |LED_570-0100-132F |LED-GREEN/RED-TH_RA-570-0100-122F   |GREEN/RED  |2.2V Green, 2.0V Red 
|        |20mA    |LED,GREEN/RED,DOMED TOP, 2MM ,10MCD GREEN, 15MCD RED @20MA |Domed Top, 2mm           |DIALIGHT    |570-0100-221F     |10mcd Green, 15mcd Red |Through Hole, Right Angle |LED_2MM_TRI       |LED-GREEN/RED-TH_RA-570-0100-221F   |GREEN/RED  |2.2V Green, 2.0V Red 
|        |10mA    |LED,RED,DOMED TOP, 3MM ,10MCD@10MA                         |Domed Top, 3mm           |DIALIGHT    |551-0409F         |10mcd                  |Through Hole, Right Angle |LED_3MM_SINGLE    |LED-RED-TH_RA-551-0409F             |RED        |2V                   
|        |10mA    |LED,YELLOW,DOMED TOP, 3MM ,6.3MCD@10MA                     |Domed Top, 3mm           |DIALIGHT    |551-0309F         |6.3mcd                 |Through Hole, Right Angle |LED_3MM_SINGLE    |LED-YELLOW-TH_RA-551-0309F          |YELLOW     |2.1V                 
