Drill Listing
=============
Drill: .008  Tool: 1  Feed: 0  Speed: 0
X 1306800  Y 1105800
X 1306900  Y 1108400
X 1307259  Y 1098500
X 1307259  Y 1102100
X 1310400  Y 1102100
X 1310409  Y 1105308
X 1310409  Y 1108457
X 1310500  Y 1098700
X 1313500  Y 1098500
X 1313700  Y 1105600
X 1313700  Y 1108600
X 1316708  Y 1108457
X 1316708  Y 1105308
X 1317000  Y 1102100
X 1317000  Y 1098500
X 1319858  Y 1108457
X 1319858  Y 1105308
X 1320500  Y 1098500
X 1323000  Y 1108500
X 1323007  Y 1102158
X 1323007  Y 1105308
X 1323500  Y 1098500
X 1329200  Y 1093200
X 1329307  Y 1102158
X 1329307  Y 1108457
X 1329307  Y 1105308
X 1332100  Y 1108500
X 1332456  Y 1102158
X 1332456  Y 1105308
X 1332456  Y 1098500
X 1335500  Y 1102158
X 1335500  Y 1108400
X 1335606  Y 1098500
X 1338600  Y 1105400
X 1338600  Y 1102200
X 1338800  Y 1108400
X 1338900  Y 1098500
X 1341800  Y 1102400
X 1341905  Y 1105308
X 1341905  Y 1108457
X 1342500  Y 1098500
X 1345000  Y 1102400
X 1345055  Y 1105308
X 1345500  Y 1108000
X 1345500  Y 1111500
X 1345100  Y 1133654
X 1341905  Y 1111607
X 1341905  Y 1127355
X 1341905  Y 1133654
X 1341700  Y 1115000
X 1338800  Y 1111600
X 1338755  Y 1121056
X 1338755  Y 1133654
X 1338755  Y 1130504
X 1338755  Y 1124205
X 1338755  Y 1127355
X 1338500  Y 1115000
X 1335700  Y 1111600
X 1335606  Y 1133654
X 1335606  Y 1130504
X 1335606  Y 1127355
X 1335606  Y 1124205
X 1335606  Y 1121056
X 1335500  Y 1115000
X 1332456  Y 1133654
X 1332456  Y 1127355
X 1332456  Y 1130504
X 1329307  Y 1127355
X 1329307  Y 1133654
X 1329307  Y 1130504
X 1323007  Y 1133654
X 1323007  Y 1127355
X 1323007  Y 1130504
X 1321000  Y 1115000
X 1319858  Y 1127355
X 1319858  Y 1130504
X 1319858  Y 1133654
X 1317000  Y 1115000
X 1316708  Y 1121056
X 1316708  Y 1133654
X 1316708  Y 1127355
X 1316708  Y 1124205
X 1316708  Y 1130504
X 1316708  Y 1111607
