Drill Listing
=============
Drill: .008  Tool: 1  Feed: 0  Speed: 0
X 1306800  Y 1093988
X 1306900  Y 1096588
X 1307259  Y 1109244
X 1307259  Y 1090288
X 1310400  Y 1090288
X 1310409  Y 1093496
X 1310409  Y 1109244
X 1310409  Y 1096645
X 1313559  Y 1102944
X 1313559  Y 1109244
X 1313700  Y 1093788
X 1313700  Y 1096788
X 1316400  Y 1087100
X 1316708  Y 1093496
X 1316708  Y 1109244
X 1316708  Y 1099795
X 1316708  Y 1096645
X 1316800  Y 1090400
X 1317000  Y 1103188
X 1319858  Y 1093496
X 1319858  Y 1096645
X 1320000  Y 1090500
X 1320100  Y 1087400
X 1321000  Y 1103188
X 1323000  Y 1096688
X 1323007  Y 1093496
X 1323500  Y 1086688
X 1329307  Y 1090346
X 1329307  Y 1093496
X 1329307  Y 1096645
X 1332000  Y 1086300
X 1332100  Y 1096688
X 1332300  Y 1090400
X 1332456  Y 1093496
X 1335400  Y 1090600
X 1335400  Y 1093700
X 1335500  Y 1096588
X 1335500  Y 1103188
X 1335606  Y 1109244
X 1335700  Y 1099788
X 1335700  Y 1085800
X 1338300  Y 1086000
X 1338500  Y 1103188
X 1338600  Y 1093588
X 1338600  Y 1090388
X 1338755  Y 1109244
X 1338800  Y 1099788
X 1338800  Y 1096588
X 1341700  Y 1103188
X 1341800  Y 1090588
X 1341905  Y 1093496
X 1341905  Y 1096645
X 1341905  Y 1099796
X 1345000  Y 1090588
X 1345055  Y 1093496
X 1345500  Y 1096188
X 1345500  Y 1099688
X 1345100  Y 1121842
X 1341905  Y 1115543
X 1341905  Y 1121842
X 1338755  Y 1115543
X 1338755  Y 1124992
X 1338755  Y 1121842
X 1338755  Y 1118692
X 1338755  Y 1112393
X 1335606  Y 1112393
X 1335606  Y 1121842
X 1335606  Y 1118692
X 1335606  Y 1115543
X 1332456  Y 1118692
X 1332456  Y 1115543
X 1332456  Y 1121842
X 1329900  Y 1125588
X 1329307  Y 1115543
X 1329307  Y 1121842
X 1329307  Y 1118692
X 1325852  Y 1126214
X 1323007  Y 1118692
X 1323007  Y 1121842
X 1323007  Y 1115543
X 1321097  Y 1125688
X 1319858  Y 1121842
X 1319858  Y 1115543
X 1319858  Y 1118692
X 1318617  Y 1125688
X 1316708  Y 1118692
X 1316708  Y 1121842
X 1316708  Y 1115543
X 1316708  Y 1112393
X 1313559  Y 1121842
X 1313559  Y 1118692
X 1313559  Y 1115543
X 1313559  Y 1112393
X 1310409  Y 1121842
X 1310409  Y 1115543
X 1310409  Y 1112393
X 1310409  Y 1118692
X 1307100  Y 1118400
X 1307100  Y 1180188
X 1307300  Y 1183688
X 1310409  Y 1183496
X 1310409  Y 1180346
X 1313559  Y 1183496
X 1316708  Y 1183496
X 1316800  Y 1180600
X 1316800  Y 1176100
X 1319900  Y 1183388
X 1320000  Y 1177300
X 1320000  Y 1180500
X 1323007  Y 1183496
X 1323007  Y 1180346
X 1323007  Y 1177196
X 1329307  Y 1180346
X 1329307  Y 1183496
X 1332200  Y 1177100
X 1332400  Y 1180600
X 1332456  Y 1183496
X 1335400  Y 1183700
X 1335400  Y 1180600
X 1335600  Y 1176900
X 1338300  Y 1177100
X 1338400  Y 1183688
X 1338500  Y 1180488
X 1341800  Y 1180488
X 1341900  Y 1183588
X 1345500  Y 1183488
X 1346000  Y 1186188
X 1346400  Y 1180688
X 1346500  Y 1177188
X 1410000  Y 1175500
X 1345000  Y 1189988
X 1342000  Y 1196188
X 1341905  Y 1205543
X 1341900  Y 1186688
X 1341700  Y 1199088
X 1338755  Y 1199244
X 1338755  Y 1205543
X 1338755  Y 1208692
X 1338755  Y 1202393
X 1338700  Y 1192888
X 1338500  Y 1190188
