Drill Listing
=============
Drill: .012  Tool: 1  Feed: 95  Speed: 300
X 1041338  Y 1030000
X 1044488  Y 1020000
X 1050000  Y 1010000
X 1100000  Y 1010000
X 1110000  Y 1010000
X 1120000  Y 1010000
X 1130000  Y 1010000
X 1140000  Y 1010000
X 1150000  Y 1010000
X 1160000  Y 1010000
X 1170000  Y 1010000
X 1180000  Y 1010000
X 1190000  Y 1010000
X 1200000  Y 1010000
X 1210000  Y 1010000
X 1220000  Y 1010000
X 1230000  Y 1010000
X 1240000  Y 1010000
X 1250000  Y 1010000
X 1260000  Y 1010000
X 1270000  Y 1010000
X 1280000  Y 1010000
X 1290000  Y 1010000
X 1300000  Y 1010000
X 1310000  Y 1010000
X 1320000  Y 1010000
X 1330000  Y 1010000
X 1340000  Y 1010000
X 1350000  Y 1010000
X 1360000  Y 1010000
X 1370000  Y 1010000
X 1380000  Y 1010000
X 1390000  Y 1010000
X 1400000  Y 1010000
X 1410000  Y 1010000
X 1420000  Y 1010000
X 1430000  Y 1010000
X 1440000  Y 1010000
X 1450000  Y 1010000
X 1460000  Y 1010000
X 1470000  Y 1010000
X 1480000  Y 1010000
X 1490000  Y 1010000
X 1500000  Y 1010000
X 1510000  Y 1010000
X 1520000  Y 1010000
X 1530000  Y 1010000
X 1540000  Y 1010000
X 1550000  Y 1010000
X 1560000  Y 1010000
X 1570000  Y 1010000
X 1580000  Y 1010000
X 1590000  Y 1010000
X 1600000  Y 1010000
X 1610000  Y 1010000
X 1620000  Y 1010000
X 1630000  Y 1010000
X 1491920  Y 1072700
X 1482770  Y 1089840
X 1482700  Y 1085440
X 1418000  Y 1100050
X 1407000  Y 1100070
X 1395500  Y 1099400
X 1367370  Y 1108000
X 1367240  Y 1103000
X 1333300  Y 1085440
X 1333230  Y 1089840
X 1240770  Y 1090340
X 1240700  Y 1085940
X 1157060  Y 1100820
X 1148000  Y 1101760
X 1143000  Y 1101500
X 1107660  Y 1109000
X 1076300  Y 1085440
X 1076230  Y 1089840
X 1038582  Y 1040000
X 1036220  Y 1050000
X 1034251  Y 1060000
X 1032874  Y 1070000
X 1030708  Y 1080000
X 1029527  Y 1090000
X 1028346  Y 1100000
X 1023622  Y 1130000
X 1025196  Y 1120000
X 1026771  Y 1110000
X 1107390  Y 1121350
X 1107800  Y 1114000
X 1129000  Y 1120640
X 1129000  Y 1132150
X 1132680  Y 1126260
X 1134730  Y 1134690
X 1136620  Y 1130310
X 1143000  Y 1115000
X 1169930  Y 1132530
X 1170000  Y 1121500
X 1171500  Y 1124300
X 1172790  Y 1127470
X 1182000  Y 1110000
X 1184500  Y 1132500
X 1186500  Y 1127000
X 1186500  Y 1114500
X 1191930  Y 1134420
X 1367500  Y 1114000
X 1388511  Y 1124721
X 1390202  Y 1115596
X 1391900  Y 1129900
X 1392800  Y 1132900
X 1411470  Y 1112630
X 1424400  Y 1119900
X 1427400  Y 1124800
X 1427500  Y 1130450
X 1427590  Y 1121200
X 1440880  Y 1133000
X 1441500  Y 1113000
X 1441500  Y 1118000
X 1449900  Y 1157610
X 1429220  Y 1135360
X 1425430  Y 1137190
X 1420240  Y 1143390
X 1412000  Y 1173500
X 1407550  Y 1145000
X 1402600  Y 1144930
X 1399000  Y 1141500
X 1394000  Y 1140500
X 1369330  Y 1142960
X 1362120  Y 1146500
X 1211200  Y 1139300
X 1171760  Y 1135650
X 1167980  Y 1138930
X 1166000  Y 1176170
X 1162270  Y 1141900
X 1150970  Y 1146100
X 1150830  Y 1173900
X 1147080  Y 1143580
X 1141360  Y 1142410
X 1139220  Y 1137840
X 1112140  Y 1148000
X 1109260  Y 1152670
X 1022047  Y 1140000
X 1018897  Y 1160000
X 1017716  Y 1170000
X 1016535  Y 1180000
X 1009448  Y 1230000
X 1011023  Y 1220000
X 1012204  Y 1210000
X 1013385  Y 1200000
X 1014566  Y 1190000
X 1052790  Y 1224630
X 1062500  Y 1218840
X 1067500  Y 1218820
X 1072500  Y 1218720
X 1075883  Y 1224648
X 1078970  Y 1217420
X 1089000  Y 1203500
X 1113360  Y 1210000
X 1113360  Y 1225000
X 1193370  Y 1211990
X 1193370  Y 1227020
X 1211160  Y 1205480
X 1229390  Y 1225730
X 1239500  Y 1220670
X 1244500  Y 1220330
X 1249500  Y 1220330
X 1254600  Y 1225860
X 1307550  Y 1224690
X 1313000  Y 1218400
X 1318000  Y 1220000
X 1323000  Y 1220000
X 1332410  Y 1224690
X 1370280  Y 1212000
X 1370280  Y 1227000
X 1456000  Y 1208000
X 1456000  Y 1231000
X 1464640  Y 1206360
X 1486000  Y 1224500
X 1496000  Y 1218670
X 1501000  Y 1218800
X 1506000  Y 1218470
X 1511500  Y 1224500
X 1546730  Y 1224660
X 1558500  Y 1209000
X 1561600  Y 1244200
X 1555600  Y 1260400
X 1555500  Y 1236500
X 1555000  Y 1246000
X 1551660  Y 1235160
X 1548000  Y 1262000
X 1546610  Y 1249660
X 1536090  Y 1276010
X 1530900  Y 1267270
X 1530900  Y 1242270
X 1529400  Y 1235400
X 1525510  Y 1262590
X 1521600  Y 1237500
X 1008267  Y 1240000
X 1006692  Y 1250000
X 1005118  Y 1260000
X 1003543  Y 1270000
X 1003543  Y 1280000
X 1003543  Y 1300000
X 1003543  Y 1290000
X 1003543  Y 1310000
X 1003543  Y 1320000
X 1003543  Y 1330000
X 1052000  Y 1309000
X 1055500  Y 1306000
X 1058000  Y 1309000
X 1076885  Y 1307000
X 1076885  Y 1313500
X 1096000  Y 1309100
X 1101366  Y 1309009
X 1104500  Y 1309000
X 1111274  Y 1316452
X 1131000  Y 1329620
X 1147420  Y 1314980
X 1153710  Y 1333700
X 1153740  Y 1328700
X 1162700  Y 1328600
X 1162700  Y 1323500
X 1179500  Y 1318500
X 1179500  Y 1310000
X 1183500  Y 1318000
X 1187000  Y 1322100
X 1189000  Y 1311000
X 1189000  Y 1333500
X 1198500  Y 1300500
X 1208370  Y 1291810
X 1209500  Y 1309000
X 1216500  Y 1307500
X 1223500  Y 1326000
X 1224000  Y 1311000
X 1226500  Y 1333000
X 1230500  Y 1332500
X 1239500  Y 1301500
X 1243000  Y 1311000
X 1243000  Y 1328000
X 1244500  Y 1323000
X 1247000  Y 1301000
X 1249300  Y 1296200
X 1250982  Y 1328741
X 1252000  Y 1305000
X 1255500  Y 1320400
X 1258900  Y 1297900
X 1276030  Y 1323000
X 1297100  Y 1323000
X 1302630  Y 1331560
X 1316510  Y 1300120
X 1320000  Y 1323500
X 1401845  Y 1312772
X 1403500  Y 1334500
X 1410500  Y 1332500
X 1425000  Y 1327500
X 1444377  Y 1332009
X 1445000  Y 1318500
X 1456729  Y 1324672
X 1463367  Y 1343000
X 1456740  Y 1354246
X 1447000  Y 1356000
X 1412000  Y 1342000
X 1411000  Y 1350000
X 1406000  Y 1353500
X 1403000  Y 1350000
X 1398500  Y 1353800
X 1392500  Y 1353000
X 1385500  Y 1339000
X 1297000  Y 1349880
X 1285050  Y 1350230
X 1252000  Y 1353000
X 1248000  Y 1346000
X 1245000  Y 1344500
X 1241900  Y 1345000
X 1241000  Y 1349000
X 1235000  Y 1348000
X 1233000  Y 1344500
X 1230500  Y 1355760
X 1229500  Y 1344500
X 1224500  Y 1355800
X 1222000  Y 1344500
X 1218500  Y 1351500
X 1218500  Y 1344000
X 1214500  Y 1351500
X 1204500  Y 1345000
X 1202200  Y 1347200
X 1197200  Y 1355500
X 1193500  Y 1346000
X 1193300  Y 1352500
X 1189500  Y 1346000
X 1189000  Y 1356500
X 1184400  Y 1358800
X 1183000  Y 1349500
X 1175500  Y 1353500
X 1175500  Y 1339500
X 1167900  Y 1337200
X 1163000  Y 1347000
X 1157500  Y 1354000
X 1157300  Y 1345600
X 1153360  Y 1353900
X 1153330  Y 1358900
X 1141300  Y 1344000
X 1102500  Y 1339000
X 1099500  Y 1342000
X 1085500  Y 1335500
X 1085500  Y 1339500
X 1070386  Y 1340500
X 1056000  Y 1339500
X 1047000  Y 1352000
X 1043500  Y 1348500
X 1040500  Y 1345000
X 1039000  Y 1341000
X 1039000  Y 1337000
X 1038800  Y 1358400
X 1033500  Y 1343200
X 1033100  Y 1351500
X 1003543  Y 1340000
X 1003543  Y 1350000
X 1003543  Y 1370000
X 1003543  Y 1380000
X 1003543  Y 1360000
X 1003543  Y 1390000
X 1003543  Y 1400000
X 1018680  Y 1369540
X 1023700  Y 1382070
X 1028410  Y 1361500
X 1035370  Y 1399180
X 1044700  Y 1369560
X 1150000  Y 1390500
X 1161000  Y 1390500
X 1168520  Y 1369000
X 1168520  Y 1379000
X 1171500  Y 1363000
X 1177500  Y 1362500
X 1206000  Y 1364000
X 1210500  Y 1364500
X 1213000  Y 1391500
X 1224000  Y 1391500
X 1232020  Y 1369000
X 1232020  Y 1374000
X 1232020  Y 1379000
X 1235500  Y 1361000
X 1286400  Y 1370510
X 1374000  Y 1385000
X 1378900  Y 1387800
X 1410000  Y 1399700
X 1418010  Y 1402490
X 1422500  Y 1382500
X 1428000  Y 1401880
X 1430000  Y 1390620
X 1432190  Y 1402320
X 1434020  Y 1374500
X 1435940  Y 1401800
X 1436320  Y 1390770
X 1442000  Y 1390390
X 1445800  Y 1381500
X 1446000  Y 1409110
X 1446300  Y 1385900
X 1447490  Y 1402650
X 1447500  Y 1390390
X 1451500  Y 1409000
