Drill Listing
=============
Drill: .024  Tool: 1  Feed: 197  Speed: 550
X 94000  Y 94000
X 115000  Y 82000
X 285000  Y 64000
X 285000  Y 87000
X 285000  Y 110000
X 333000  Y 64000
X 333000  Y 87000
X 333000  Y 110000
X 333000  Y 133000
X 333000  Y 156000
X 285000  Y 133000
X 285000  Y 156000
X 116000  Y 145000
X 116000  Y 155000
X 116000  Y 125000
X 116000  Y 135000
X 62300  Y 195000
X 115300  Y 165000
X 285000  Y 179000
X 285000  Y 202000
X 333000  Y 179000
X 333000  Y 203000
X 350000  Y 207500
X 355000  Y 227500
Drill: .04  Tool: 2  Feed: 139  Speed: 550
X 17323  Y 21692
X 17323  Y 11692
X 17323  Y 31692
X 17323  Y 55000
X 225236  Y 34921
X 225236  Y 44921
X 225236  Y 54921
X 235236  Y 44921
X 235236  Y 54921
X 235236  Y 34921
X 235236  Y 84921
X 235236  Y 64921
X 235236  Y 74921
X 235236  Y 94921
X 235236  Y 104921
X 225236  Y 64921
X 225236  Y 94921
X 225236  Y 84921
X 225236  Y 104921
X 225236  Y 74921
X 17323  Y 65000
X 17323  Y 75000
X 17323  Y 108307
X 17323  Y 98307
X 17323  Y 118307
X 17323  Y 151614
X 17323  Y 141614
X 17323  Y 161614
X 225236  Y 114921
X 225236  Y 124921
X 225236  Y 154921
X 225236  Y 144921
X 225236  Y 134921
X 235236  Y 114921
X 235236  Y 144921
X 235236  Y 124921
X 235236  Y 154921
X 235236  Y 134921
X 235236  Y 184921
X 235236  Y 164921
X 235236  Y 174921
X 235236  Y 194921
X 235236  Y 204921
X 225236  Y 184921
X 225236  Y 174921
X 225236  Y 204921
X 225236  Y 164921
X 225236  Y 194921
X 17323  Y 194921
X 17323  Y 184921
X 17323  Y 204921
X 17323  Y 228228
X 17323  Y 238228
X 17323  Y 248228
X 225236  Y 214921
X 225236  Y 224921
X 235236  Y 214921
X 235236  Y 224921
Drill: .04134  Tool: 3  Feed: 139  Speed: 550
X 269192  Y 72500
X 269192  Y 112500
X 355807  Y 112500
X 355807  Y 72500
X 355807  Y 152500
X 355807  Y 192500
X 269192  Y 192500
X 269192  Y 152500
Drill: .06299  Tool: 4  Feed: 89  Speed: 550
X 40472  Y 23937
X 40472  Y 43937
X 40472  Y 63937
X 40472  Y 83937
X 40472  Y 103937
X 40472  Y 123937
X 40472  Y 143937
X 40472  Y 163937
X 40472  Y 183937
X 40472  Y 203937
X 40472  Y 223937
X 40472  Y 243937
Drill: .10237  Tool: 5  Feed: 69  Speed: 658
X 73622  Y 19685
X 73622  Y 240157
Drill: .1378  Tool: 6  Feed: 35  Speed: 794
X 301181  Y 31496
X 301181  Y 228346
End of Listing
