*PADS-ECO-V9.4-MILS*
*REMARK*  old file: E:\CCC_NGP\PDLC\design\Schematics\MPC5534_daughter_card\Rev3.0\CCCNGP_MPC5534_BOARD_REV2.0.asc
*REMARK*  new file: E:\CCC_NGP\PDLC\design\Schematics\MPC5534_daughter_card\Rev3.0\CCCNGP_MPC5534_BOARD_REV3.0.asc
*REMARK*  created by ECOGEN (Version 6.4v) on 7/26/2012 3:46:36 PM

PART DIFFERENCES
----------------
OLD DESIGN                                        NEW DESIGN
Ref-des	Part-type:Decal                           Ref-des	Part-type:Decal
U97   10175_1                                     U97   IC-BUFFER-SOT-553-SN74LVC1G125DRLR
U98   10175_1                                     U98   IC-BUFFER-SOT-553-SN74LVC1G125DRLR
U16   24LC01B                                     U16   IC-EEPROM-8-SOIC-24LC16B-I/SN
U17   24LC01B                                     U17   IC-EEPROM-8-SOIC-24LC16B-I/SN
J4   6PINHDR                                      J4   CON-TH_RA-1X6-640453-6
U3   74LV125                                      U3   IC-BUFFER-14TSSOP-74LV125PW
U4   74LV125                                      U4   IC-BUFFER-14TSSOP-74LV125PW
CRYSTAL1   8MHZ                                   <none>
U22   AND_2                                       U22   IC-ANDGATE-SOT-553-SN74LVC1G08DRLR
U8   AND_3_IP                                     U8   IC-ANDGATE-SC-70-6-SN74LVC1G11DCKR
Q1   BCP68T1                                      Q1   TRN-SOT-223-BCP68T1G
U30   BUFFER-TDO                                  U30   IC-BUFFER-SOT-553-SN74LVC1G07DRLR
C131   CAP-0.01UF-25V-0306                        C131   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
C132   CAP-0.01UF-25V-0306                        C132   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
C133   CAP-0.01UF-25V-0306                        C133   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
C134   CAP-0.01UF-25V-0306                        C134   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
C135   CAP-0.01UF-25V-0306                        C135   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
C136   CAP-0.01UF-25V-0306                        C136   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
C137   CAP-0.01UF-25V-0306                        C137   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
C138   CAP-0.01UF-25V-0306                        C138   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
C139   CAP-0.01UF-25V-0306                        C139   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
C140   CAP-0.01UF-25V-0306                        C140   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
C141   CAP-0.01UF-25V-0306                        C141   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
C142   CAP-0.01UF-25V-0306                        C142   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
C143   CAP-0.01UF-25V-0306                        C143   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
C144   CAP-0.01UF-25V-0306                        C144   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
C145   CAP-0.01UF-25V-0306                        C145   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
C146   CAP-0.01UF-25V-0306                        C146   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
C147   CAP-0.01UF-25V-0306                        C147   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
C148   CAP-0.01UF-25V-0306                        C148   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
C149   CAP-0.01UF-25V-0306                        C149   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
C150   CAP-0.01UF-25V-0306                        C150   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
C154   CAP-0.01UF-25V-0306                        C154   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
C158   CAP-0.01UF-25V-0306                        C158   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
C159   CAP-0.01UF-25V-0306                        C159   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
C160   CAP-0.01UF-25V-0306                        C160   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
C161   CAP-0.01UF-25V-0306                        C161   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
C162   CAP-0.01UF-25V-0306                        C162   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
C163   CAP-0.01UF-25V-0306                        C163   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
C164   CAP-0.01UF-25V-0306                        C164   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
C186   CAP-0.01UF-25V-0306                        C186   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
