Item	Qty	Reference	 Part  Name 	Manufacturer	Description	 MFG  P/N 	 CCC  P/N 	VALUE
1	1	C8	CAP-0.01UF-16V-0402-10%-0402YC103KAT2A	AVX	CAP,CER,10000PF,16V,10%,X7R,0402	0402YC103KAT2A		0.01UF
2	1	C30	CAP-0.01UF-16V-0402-10%-0402YC103KAT2A	AVX	CAP,CER,10000PF,16V,10%,X7R,0402	0402YC103KAT2A		0.01UF
3	1	C32	CAP-0.01UF-16V-0402-10%-0402YC103KAT2A	AVX	CAP,CER,10000PF,16V,10%,X7R,0402	0402YC103KAT2A		0.01UF
4	1	C40	CAP-0.01UF-16V-0402-10%-0402YC103KAT2A	AVX	CAP,CER,10000PF,16V,10%,X7R,0402	0402YC103KAT2A		0.01UF
5	1	C123	CAP-0.01UF-16V-0402-10%-0402YC103KAT2A	AVX	CAP,CER,10000PF,16V,10%,X7R,0402	0402YC103KAT2A		0.01UF
6	1	C165	CAP-0.01UF-16V-0402-10%-0402YC103KAT2A	AVX	CAP,CER,10000PF,16V,10%,X7R,0402	0402YC103KAT2A		0.01UF
7	1	C167	CAP-0.01UF-16V-0402-10%-0402YC103KAT2A	AVX	CAP,CER,10000PF,16V,10%,X7R,0402	0402YC103KAT2A		0.01UF
8	1	C168	CAP-0.01UF-16V-0402-10%-0402YC103KAT2A	AVX	CAP,CER,10000PF,16V,10%,X7R,0402	0402YC103KAT2A		0.01UF
9	1	C170	CAP-0.01UF-16V-0402-10%-0402YC103KAT2A	AVX	CAP,CER,10000PF,16V,10%,X7R,0402	0402YC103KAT2A		0.01UF
10	1	C171	CAP-0.01UF-16V-0402-10%-0402YC103KAT2A	AVX	CAP,CER,10000PF,16V,10%,X7R,0402	0402YC103KAT2A		0.01UF
11	1	C178	CAP-0.01UF-16V-0402-10%-0402YC103KAT2A	AVX	CAP,CER,10000PF,16V,10%,X7R,0402	0402YC103KAT2A		0.01UF
12	1	C180	CAP-0.01UF-16V-0402-10%-0402YC103KAT2A	AVX	CAP,CER,10000PF,16V,10%,X7R,0402	0402YC103KAT2A		0.01UF
13	1	C9	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
14	1	C10	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
15	1	C11	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
16	1	C16	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
17	1	C17	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
18	1	C20	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
19	1	C24	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
20	1	C28	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
21	1	C34	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
22	1	C36	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
23	1	C131	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
24	1	C132	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
25	1	C133	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
26	1	C134	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
27	1	C135	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
28	1	C136	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
29	1	C137	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
30	1	C138	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
31	1	C139	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
32	1	C140	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
33	1	C141	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
34	1	C142	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
35	1	C143	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
36	1	C144	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
