Item	Qty	Reference	Part Name	Manufacturer	Description	MFG P/N	CCC P/N	VALUE
1	1	U97	10175_1	TI	IC BUS BUFF TRI-ST N-INV SOT5	SN74LVC1G125DRLR		SN74LVC1G125DRLR
2	1	U98	10175_1	TI	IC BUS BUFF TRI-ST N-INV SOT5	SN74LVC1G125DRLR		SN74LVC1G125DRLR
3	1	U16	24LC01B	Microchip Technology	IC EEPROM 16KBIT 400KHZ 8SOIC	24LC16B-I/SN		24LC16B
4	1	U17	24LC01B	Microchip Technology	IC EEPROM 16KBIT 400KHZ 8SOIC	24LC16B-I/SN		24LC16B
5	1	J4	6PINHDR	TE-connectivity	CONN HEADER RTANG 6POS .100 TIN	640453-6		
6	1	U3	74LV125	NXP	IC BUFF DVR TRI-ST QUAD 14TSSOP	74LV125PW		74LV125
7	1	U4	74LV125	NXP	IC BUFF DVR TRI-ST QUAD 14TSSOP	74LV125PW		74LV125
8	1	CRYSTAL1	8MHZ	Abracon	CRYSTAL 8.00 MHZ 8PF SMD	ABM7-8.000MHZ-D2Y-T		8MHz
9	1	U22	AND_2	TI	IC SNGL 2IN POS-AND GATE SOT-553	SN74LVC1G08DRLR		SN74LVC1G08DRLR
10	1	U8	AND_3_IP	TI	IC SNGL 3IN POS AND GATE SC70-6	SN74LVC1G11DCKR		SN74LVC1G11DCKR
11	1	Q1	BCP68T1	ON semiconductor	TRANS NPN AUDIO 1A 25V SOT223	BCP68T1G		BCP68
12	1	U30	BUFFER-TDO	TI	IC BUFF/DVR NON-INVERT SOT5	SN74LVC1G07DRLR		SN74LVC1G07DRLR
13	1	C131	CAP-0.01UF-25V-0306	AVX	Multilayer Ceramic Capacitors (MLCC) - SMD/SMT 0306 0.01uF 10volts C0G 10%	0306ZC103KAT2A		0.01uF
14	1	C132	CAP-0.01UF-25V-0306	AVX	Multilayer Ceramic Capacitors (MLCC) - SMD/SMT 0306 0.01uF 10volts C0G 10%	0306ZC103KAT2A		0.01uF
15	1	C133	CAP-0.01UF-25V-0306	AVX	Multilayer Ceramic Capacitors (MLCC) - SMD/SMT 0306 0.01uF 10volts C0G 10%	0306ZC103KAT2A		0.01uF
16	1	C134	CAP-0.01UF-25V-0306	AVX	Multilayer Ceramic Capacitors (MLCC) - SMD/SMT 0306 0.01uF 10volts C0G 10%	0306ZC103KAT2A		0.01uF
17	1	C135	CAP-0.01UF-25V-0306	AVX	Multilayer Ceramic Capacitors (MLCC) - SMD/SMT 0306 0.01uF 10volts C0G 10%	0306ZC103KAT2A		0.01uF
18	1	C136	CAP-0.01UF-25V-0306	AVX	Multilayer Ceramic Capacitors (MLCC) - SMD/SMT 0306 0.01uF 10volts C0G 10%	0306ZC103KAT2A		0.01uF
19	1	C137	CAP-0.01UF-25V-0306	AVX	Multilayer Ceramic Capacitors (MLCC) - SMD/SMT 0306 0.01uF 10volts C0G 10%	0306ZC103KAT2A		0.01uF
20	1	C138	CAP-0.01UF-25V-0306	AVX	Multilayer Ceramic Capacitors (MLCC) - SMD/SMT 0306 0.01uF 10volts C0G 10%	0306ZC103KAT2A		0.01uF
21	1	C139	CAP-0.01UF-25V-0306	AVX	Multilayer Ceramic Capacitors (MLCC) - SMD/SMT 0306 0.01uF 10volts C0G 10%	0306ZC103KAT2A		0.01uF
